State,ST,City ST,Lat,Lng,City
Alabama,AL,Calvert AL,31.1543,-88.0106,Calvert
Alabama,AL,Camden AL,32.0007,-87.2967,Camden
Alabama,AL,Camp Hill AL,32.8002,-85.6536,Camp Hill
Alabama,AL,Campbell AL,31.9235,-87.9811,Campbell
Alabama,AL,Carbon Hill AL,33.8944,-87.5224,Carbon Hill
Alabama,AL,Cardiff AL,33.6472,-86.9307,Cardiff
Alabama,AL,Carlisle AL,34.129,-86.1203,Carlisle
Alabama,AL,Carlton AL,31.343,-87.8378,Carlton
Alabama,AL,Carolina AL,31.2337,-86.5227,Carolina
Alabama,AL,Carrollton AL,33.2619,-88.0951,Carrollton
Alabama,AL,Castleberry AL,31.3001,-87.027,Castleberry
Alabama,AL,Catherine AL,32.1861,-87.4699,Catherine
Alabama,AL,Cecil AL,32.3026,-86.0086,Cecil
Alabama,AL,Cedar Bluff AL,34.2215,-85.5887,Cedar Bluff
Alabama,AL,Center Point AL,33.6447,-86.6851,Center Point
Alabama,AL,Centre AL,34.1554,-85.6707,Centre
Alabama,AL,Centreville AL,32.9597,-87.1334,Centreville
Alabama,AL,Chancellor AL,31.1816,-85.8772,Chancellor
Alabama,AL,Chandler Springs AL,33.3307,-85.9983,Chandler Springs
Alabama,AL,Chase AL,34.7834,-86.5467,Chase
Alabama,AL,Chastang AL,31.0377,-88.0233,Chastang
Alabama,AL,Chatom AL,31.4691,-88.246,Chatom
Alabama,AL,Chelsea AL,33.3258,-86.6287,Chelsea
Alabama,AL,Cherokee AL,34.7577,-87.967,Cherokee
Alabama,AL,Chickasaw AL,30.7715,-88.0794,Chickasaw
Alabama,AL,Childersburg AL,33.2961,-86.3457,Childersburg
Alabama,AL,Choccolocco AL,33.6683,-85.7129,Choccolocco
Alabama,AL,Choctaw Bluff AL,31.3888,-87.7889,Choctaw Bluff
Alabama,AL,Chrysler AL,31.3052,-87.7011,Chrysler
Alabama,AL,Chunchula AL,30.9237,-88.2072,Chunchula
Alabama,AL,Citronelle AL,31.0952,-88.2467,Citronelle
Alabama,AL,Claiborne AL,31.5402,-87.5155,Claiborne
Alabama,AL,Clanton AL,32.8417,-86.623,Clanton
Alabama,AL,Clay AL,33.698,-86.6068,Clay
Alabama,AL,Clayhatchee AL,31.2435,-85.7136,Clayhatchee
Alabama,AL,Clayton AL,31.8824,-85.4606,Clayton
Alabama,AL,Cleveland AL,33.9965,-86.5671,Cleveland
Alabama,AL,Clinton AL,32.9137,-87.9925,Clinton
Alabama,AL,Clio AL,31.7085,-85.6109,Clio
Alabama,AL,Clopton AL,31.6085,-85.4299,Clopton
Alabama,AL,Cloverdale AL,34.9387,-87.7714,Cloverdale
Alabama,AL,Coaling AL,33.1642,-87.3533,Coaling
Alabama,AL,Cochrane AL,33.0654,-88.2511,Cochrane
Alabama,AL,Coffee Springs AL,31.1664,-85.9102,Coffee Springs
Alabama,AL,Coffeeville AL,31.7666,-88.0861,Coffeeville
Alabama,AL,Coker AL,33.2448,-87.6802,Coker
Alabama,AL,Collbran AL,34.3759,-85.7786,Collbran
Alabama,AL,Collinsville AL,34.267,-85.8652,Collinsville
Alabama,AL,Columbia AL,31.2968,-85.1103,Columbia
Alabama,AL,Columbiana AL,33.1932,-86.6118,Columbiana
Alabama,AL,Comer AL,32.0329,-85.3833,Comer
Alabama,AL,Concord AL,33.4674,-87.0392,Concord
Alabama,AL,Cooper AL,32.7751,-86.5455,Cooper
Alabama,AL,Coosada AL,32.4979,-86.3282,Coosada
Alabama,AL,Cordova AL,33.7613,-87.1926,Cordova
Alabama,AL,Cottondale AL,33.1921,-87.4544,Cottondale
Alabama,AL,Cottonwood AL,31.0549,-85.301,Cottonwood
Alabama,AL,County Line AL,33.821,-86.7198,County Line
Alabama,AL,Courtland AL,34.6704,-87.3262,Courtland
Alabama,AL,Cowarts AL,31.204,-85.3062,Cowarts
Alabama,AL,Cragford AL,33.2509,-85.6725,Cragford
Alabama,AL,Crawford AL,32.4568,-85.1897,Crawford
Alabama,AL,Creola AL,30.8902,-88.0101,Creola
Alabama,AL,Cromwell AL,32.2288,-88.2745,Cromwell
Alabama,AL,Crosby AL,31.0388,-85.0863,Crosby
Alabama,AL,Crossville AL,34.2853,-85.9996,Crossville
Alabama,AL,Cuba AL,32.441,-88.3755,Cuba
Alabama,AL,Cullman AL,34.1791,-86.8402,Cullman
Alabama,AL,Cullomburg AL,31.7131,-88.2917,Cullomburg
Alabama,AL,Curry AL,33.4865,-86.0172,Curry
Alabama,AL,Cusseta AL,32.7876,-85.3058,Cusseta
Alabama,AL,Cypress AL,32.9479,-87.667,Cypress
Alabama,AL,Dadeville AL,32.8326,-85.7675,Dadeville
Alabama,AL,Daleville AL,31.2914,-85.7114,Daleville
Alabama,AL,Daphne AL,30.6291,-87.8872,Daphne
Alabama,AL,Dauphin Island AL,30.2525,-88.1438,Dauphin Island
Alabama,AL,Daviston AL,33.0557,-85.6371,Daviston
Alabama,AL,Dayton AL,32.3509,-87.6416,Dayton
Alabama,AL,DeArmanville AL,33.6265,-85.7514,DeArmanville
Alabama,AL,Deatsville AL,32.5865,-86.3916,Deatsville
Alabama,AL,Decatur AL,34.5733,-86.9919,Decatur
Alabama,AL,Deer Park AL,31.2198,-88.3226,Deer Park
Alabama,AL,Delta AL,33.447,-85.6746,Delta
Alabama,AL,Demopolis AL,32.498,-87.8298,Demopolis
Alabama,AL,Detroit AL,34.0274,-88.1678,Detroit
Alabama,AL,Dixie AL,31.1446,-86.7194,Dixie
Alabama,AL,Dixons Mills AL,32.0582,-87.7875,Dixons Mills
Alabama,AL,Dodge City AL,34.0452,-86.8837,Dodge City
Alabama,AL,Dolomite AL,33.4629,-86.9614,Dolomite
Alabama,AL,Dora AL,33.7292,-87.085,Dora
Alabama,AL,Dothan AL,31.2335,-85.4066,Dothan
Alabama,AL,Double Springs AL,34.1496,-87.4028,Double Springs
Alabama,AL,Douglas AL,34.1705,-86.3224,Douglas
Alabama,AL,Dozier AL,31.5031,-86.3694,Dozier
Alabama,AL,Duncanville AL,33.0618,-87.4422,Duncanville
Alabama,AL,Dutton AL,34.6062,-85.9119,Dutton
Alabama,AL,East Brewton AL,31.0906,-87.0556,East Brewton
Alabama,AL,East Point AL,34.1856,-86.7926,East Point
Alabama,AL,Echo AL,31.4757,-85.4658,Echo
Alabama,AL,Eclectic AL,32.639,-86.0383,Eclectic
Alabama,AL,Edgewater AL,33.5286,-86.9574,Edgewater
Alabama,AL,Edwardsville AL,33.8412,-85.4523,Edwardsville
Alabama,AL,Egypt AL,34.0759,-86.1651,Egypt
Alabama,AL,Elba AL,31.4172,-86.0759,Elba
Alabama,AL,Elberta AL,30.3847,-87.5886,Elberta
Alabama,AL,Eldridge AL,33.922,-87.6201,Eldridge
Alabama,AL,Elkmont AL,34.9291,-86.9767,Elkmont
Alabama,AL,Elmore AL,32.546,-86.3329,Elmore
Alabama,AL,Elrod AL,33.2562,-87.7922,Elrod
Alabama,AL,Emelle AL,32.7287,-88.3165,Emelle
Alabama,AL,Enterprise AL,31.3276,-85.8459,Enterprise
Alabama,AL,Eoline AL,32.9951,-87.2322,Eoline
Alabama,AL,Epes AL,32.6912,-88.1269,Epes
Alabama,AL,Ethelsville AL,33.4141,-88.2161,Ethelsville
Alabama,AL,Eufaula AL,31.9102,-85.1505,Eufaula
Alabama,AL,Eulaton AL,33.6457,-85.9125,Eulaton
Alabama,AL,Eunola AL,31.0326,-85.8409,Eunola
Alabama,AL,Eutaw AL,32.8436,-87.8987,Eutaw
Alabama,AL,Eva AL,34.3271,-86.7616,Eva
Alabama,AL,Evergreen AL,31.4379,-86.9584,Evergreen
Alabama,AL,Excel AL,31.4264,-87.3433,Excel
Alabama,AL,Fackler AL,34.7926,-85.91,Fackler
Alabama,AL,Fairfield AL,33.4747,-86.9194,Fairfield
Alabama,AL,Fairford AL,31.178,-88.0728,Fairford
Alabama,AL,Fairhope AL,30.5235,-87.8827,Fairhope
Alabama,AL,Fairview AL,34.2477,-86.6843,Fairview
Alabama,AL,Falkville AL,34.3793,-86.9086,Falkville
Alabama,AL,Faunsdale AL,32.4577,-87.5939,Faunsdale
Alabama,AL,Fayette AL,33.6943,-87.8307,Fayette
Alabama,AL,Fayetteville AL,33.1643,-86.4411,Fayetteville
Alabama,AL,Fitzpatrick AL,32.2114,-85.8784,Fitzpatrick
Alabama,AL,Five Points AL,33.0173,-85.3516,Five Points
Alabama,AL,Flat Rock AL,34.7698,-85.6944,Flat Rock
Alabama,AL,Flatwood AL,32.1493,-87.5231,Flatwood
Alabama,AL,Flint City AL,34.5231,-86.9703,Flint City
Alabama,AL,Flomaton AL,31.0127,-87.2541,Flomaton
Alabama,AL,Florala AL,31.0176,-86.3138,Florala
Alabama,AL,Florence AL,34.83,-87.6658,Florence
Alabama,AL,Foley AL,30.3994,-87.6645,Foley
Alabama,AL,Forest Home AL,31.8624,-86.8428,Forest Home
Alabama,AL,Forestdale AL,33.5737,-86.9002,Forestdale
Alabama,AL,Forkland AL,32.6489,-87.8671,Forkland
Alabama,AL,Forney AL,34.0862,-85.4619,Forney
Alabama,AL,Fort Davis AL,32.2432,-85.7097,Fort Davis
Alabama,AL,Fort Deposit AL,31.9863,-86.5664,Fort Deposit
Alabama,AL,Fort Mitchell AL,32.3415,-85.0216,Fort Mitchell
Alabama,AL,Fort Morgan AL,30.2285,-88.0231,Fort Morgan
Alabama,AL,Fort Payne AL,34.4559,-85.6954,Fort Payne
Alabama,AL,Fosters AL,33.0948,-87.6858,Fosters
Alabama,AL,Franklin AL,32.4551,-85.8066,Franklin
Alabama,AL,Frankville AL,31.6465,-88.1475,Frankville
Alabama,AL,Fredonia AL,32.9861,-85.2912,Fredonia
Alabama,AL,Frisco City AL,31.4353,-87.4037,Frisco City
Alabama,AL,Fruitdale AL,31.3429,-88.4108,Fruitdale
Alabama,AL,Fruithurst AL,33.7296,-85.4312,Fruithurst
Alabama,AL,Fulton AL,31.7916,-87.7397,Fulton
Alabama,AL,Fultondale AL,33.6177,-86.8015,Fultondale
Alabama,AL,Fyffe AL,34.4496,-85.905,Fyffe
Alabama,AL,Gadsden AL,34.009,-86.0156,Gadsden
Alabama,AL,Gainesville AL,32.8149,-88.1608,Gainesville
Alabama,AL,Gallant AL,34.0013,-86.2304,Gallant
Alabama,AL,Gallion AL,32.4968,-87.7161,Gallion
Alabama,AL,Gantt AL,31.4092,-86.4842,Gantt
Alabama,AL,Garden City AL,34.0152,-86.752,Garden City
Alabama,AL,Gardendale AL,33.6677,-86.8069,Gardendale
Alabama,AL,Garland AL,31.5566,-86.8233,Garland
Alabama,AL,Gasque AL,30.2533,-87.8197,Gasque
Alabama,AL,Gaylesville AL,34.2681,-85.5585,Gaylesville
Alabama,AL,Geiger AL,32.8698,-88.313,Geiger
Alabama,AL,Geneva AL,31.0437,-85.8764,Geneva
Alabama,AL,Georgiana AL,31.6391,-86.7468,Georgiana
Alabama,AL,Geraldine AL,34.3577,-86.0037,Geraldine
Alabama,AL,Gilbertown AL,31.8758,-88.3195,Gilbertown
Alabama,AL,Glen Allen AL,33.8923,-87.7329,Glen Allen
Alabama,AL,Glencoe AL,33.9447,-85.9319,Glencoe
Alabama,AL,Glenwood AL,31.6675,-86.173,Glenwood
Alabama,AL,Goldville AL,33.0841,-85.7831,Goldville
Alabama,AL,Good Hope AL,34.1098,-86.865,Good Hope
Alabama,AL,Goodwater AL,33.0608,-86.0516,Goodwater
Alabama,AL,Gordo AL,33.322,-87.904,Gordo
Alabama,AL,Gordon AL,31.1439,-85.0932,Gordon
Alabama,AL,Gordonville AL,32.1489,-86.6995,Gordonville
Alabama,AL,Gorgas AL,33.6493,-87.2081,Gorgas
Alabama,AL,Goshen AL,31.7182,-86.1242,Goshen
Alabama,AL,Grady AL,31.9949,-86.2011,Grady
Alabama,AL,Graham AL,33.4552,-85.323,Graham
Alabama,AL,Grand Bay AL,30.4717,-88.345,Grand Bay
Alabama,AL,Grant AL,34.519,-86.2492,Grant
Alabama,AL,Grayson AL,34.2804,-87.3195,Grayson
Alabama,AL,Grayson Valley AL,33.647,-86.6414,Grayson Valley
Alabama,AL,Graysville AL,33.6582,-86.9673,Graysville
Alabama,AL,Greensboro AL,32.7014,-87.595,Greensboro
Alabama,AL,Greenville AL,31.8437,-86.6379,Greenville
Alabama,AL,Grimes AL,31.2999,-85.4502,Grimes
Alabama,AL,Grove Hill AL,31.7033,-87.7759,Grove Hill
Alabama,AL,Guin AL,33.983,-87.9017,Guin
Alabama,AL,Gulf Shores AL,30.2718,-87.708,Gulf Shores
Alabama,AL,Gulfcrest AL,30.9955,-88.2375,Gulfcrest
Alabama,AL,Guntersville AL,34.3674,-86.2634,Guntersville
Alabama,AL,Gurley AL,34.7074,-86.3769,Gurley
Alabama,AL,Gu-Win AL,33.9443,-87.8704,Gu-Win
Alabama,AL,Hackleburg AL,34.2693,-87.8303,Hackleburg
Alabama,AL,Hackneyville AL,33.0567,-85.9312,Hackneyville
Alabama,AL,Hacoda AL,31.0749,-86.1663,Hacoda
Alabama,AL,Haleburg AL,31.4099,-85.1381,Haleburg
Alabama,AL,Haleyville AL,34.235,-87.6165,Haleyville
Alabama,AL,Hamilton AL,34.1346,-87.9755,Hamilton
Alabama,AL,Hammondville AL,34.5685,-85.6397,Hammondville
Alabama,AL,Hanceville AL,34.0631,-86.7636,Hanceville
Alabama,AL,Hardaway AL,32.2865,-85.8488,Hardaway
Alabama,AL,Harpersville AL,33.3185,-86.4285,Harpersville
Alabama,AL,Hartford AL,31.1055,-85.6916,Hartford
Alabama,AL,Hartselle AL,34.4392,-86.9399,Hartselle
Alabama,AL,Harvest AL,34.8558,-86.7521,Harvest
Alabama,AL,Hatchechubbee AL,32.2707,-85.2758,Hatchechubbee
Alabama,AL,Hatton AL,34.5611,-87.4136,Hatton
Alabama,AL,Hayden AL,33.8818,-86.7838,Hayden
Alabama,AL,Hayneville AL,32.1822,-86.5787,Hayneville
Alabama,AL,Hazel Green AL,34.9237,-86.5671,Hazel Green
Alabama,AL,Hazen AL,32.3401,-87.2039,Hazen
Alabama,AL,Headland AL,31.3501,-85.3523,Headland
Alabama,AL,Heath AL,31.3579,-86.4673,Heath
Alabama,AL,Heflin AL,33.6471,-85.5698,Heflin
Alabama,AL,Heiberger AL,32.7582,-87.2867,Heiberger
Alabama,AL,Helena AL,33.2855,-86.8748,Helena
Alabama,AL,Henagar AL,34.631,-85.7405,Henagar
