Date Submitted,Date of Sighting,City,ST,Short Description
2/23/2018,2/13/2018,Redding, CA,{rjl} Just Saw lights
2/22/2018,2/3/2018,Port Hueneme, CA,"{rjl} Brightly flashing primary colors, no discernable shape, Estimated Magnitude -5 or more"
2/20/2018,2/14/2018,clovis , CA,{rjl} friend and i saw something in corner of eye one poped up then alot came from behind trees in distance
2/20/2018,2/1/2018,Nice, CA,{rjl Attached is a picture (one of many) that I took during the Eclipse on February 1 2018.. please let me know what I captured..ASAP..Thank You..
2/16/2018,2/15/2018,Napa, CA,{cak} looking at a bright
2/15/2018,2/15/2018,Irvine , CA,{cak} 405 culver
2/14/2018,2/12/2018,Santa cruz, CA,{cak} doing a video about air gun than saw ufo after recording
2/11/2018,2/6/2018,santa rosa, CA,"{cak} noticed a yellow orb like craft with a foggy haze on a crystal clear night,traveling from the west going east. observed til zippin away leaving huge gas vapors"
2/10/2018,2/10/2018,Willits, CA,{jpg}
2/10/2018,2/9/2018,Concord, CA,"{jpg} Star-like object hovering then descending, changing color from red and white, then quickly flashing green and white."
2/9/2018,2/9/2018,Monterey Park, CA,"{jpg} bright object with tail, dulled then seemed to ricochet became bright with tail, then changed direction"
2/8/2018,2/8/2018,Eastvale, CA,{jpg} 5-6 UFOs
2/8/2018,2/8/2018,Oakland, CA,{jpg} I
2/7/2018,2/6/2018,ukiah, CA,{jpg} a small star like object high in the sky with cloudy mist around it moving from the southwest in an easterly direction.
2/7/2018,2/6/2018,Bodega Bay, CA,"{jpg} Stationary foggy star observed. Looked away for 2 seconds, foggy star rapidly moved south. Saw star between mist and mist trailing."
2/7/2018,2/6/2018,Olancha, CA,{jpg} Third night in a row bright pulsating colored object passing over.
2/7/2018,2/6/2018,Ontario, CA,"{jpg} Two swirling green/blue luminated lights on sides of fuselage no other lights noticeable, oval shape body."
2/7/2018,2/6/2018,Coulterville , CA,{jpg} Light covered in misty cloud changed shape then dispersed into hazy mist
2/6/2018,2/6/2018,Brentwood, CA,{jpg} Weird bright light traveling in perfectly clear sky but seemed to be surrounded by mist.
2/6/2018,2/6/2018,Escondido, CA,{jpg} An object flying across the sky
2/6/2018,2/6/2018,la quinta, CA,{jpg} a flying object with a cloud cloak on a clear sky with arch shaped wake turbulence
2/6/2018,2/6/2018,Escondido, CA,{jpg} Please see description below
2/6/2018,2/6/2018,Redondo Beach, CA,"{jpg} Evening walk. Fuzzy orb light in west, plumes top & bottom. Appeared stationary, moved rapidly overhead to south. Plume appearance changed then vanished."
2/6/2018,2/6/2018,Loomis, CA,"{jpg} Looked like clouded star or airplane, then produced a cone tail or double tail."
2/5/2018,2/5/2018,Olancha, CA,{jpg} Another bright object passed over our skycam similar to last night
2/5/2018,2/4/2018,Olancha, CA,"{jpg} Bright object passed over our night sky camera, not satellite or meteor."
2/5/2018,2/3/2018,Sacramento, CA,{jpg} Seen two flying plasma crafts
2/5/2018,2/3/2018,wildomar, CA,{jpg} thought I was looking at a flock of birds untill they swooped back around and made geometric patterns and changed colors
4/13/2018,2/25/2018,Elk Grove, CA,{td} I was working then I saw the object and start to film it with my cell phone.
3/16/2018,2/16/2018,CA, US,{cak} seen a stralike object in the sky outside my apt. and filmed it.
3/11/2018,2/26/2018,Wilmington, CA,{cak} There was a Saturn like disc emitting a greenish white light as it hovered.
2/28/2018,2/18/2018,Pasadena, CA,{td}Metalic like sphere size of an exercising ballon maybe 3ft on diameter
2/27/2018,2/25/2018,rancho cordova, CA,"{td}50+ craft shaped like bird i thought, it seemed wings were shifting and they were going in one direction with some of them going side to side"
2/25/2018,2/22/2018,Trinidad , CA,"{td}Captured during weather shot in Trinidad, CA."
2/25/2018,2/24/2018,Hawthorne, CA,{td}Was outside working on my car for a couple houple hours..finished up for the night and began to atargaze with my dog ....i noticed the object and thought i was mistaken...once i realised thia was real i screamed for my girlfriend she came outside
2/24/2018,2/24/2018,san francisco, CA,{rjl} explosion and then white chem trail descending downward and west over golden gate
2/21/2018,2/20/2018,Laguna Beach, CA,{rjl} Two Spheres in formation sliding very slowly eastward for 1-2 mins and faded
2/21/2018,2/21/2018,Sacramento, CA,{rjl} Almost shadow like with two very bright blue lights on each side. Had sharp box like features.
2/20/2018,2/20/2018,Laguna Beach, CA,"{rjl} 5 fireballs appeared in sky, then one by one they slowly disappeared"
2/19/2018,2/17/2018,Borrego Springs, CA,{rjl} Two Bright Lights Hover then Fade Out
2/19/2018,2/19/2018,San Diego, CA,{rjl} Aliens
2/19/2018,2/18/2018,RanchoSanta Margarita, CA,{rjl} silver object
2/17/2018,2/16/2018,Emeryville, CA,{cak} I see this almost nightly since 1-10-18
9/5/2018,3/5/2018,Los Angeles, CA,{jpg} White orb floating below clouds. Stationary and then starts moving in southwesterly direction.
7/8/2018,3/10/2018,La Quinta , CA,{jpg} Glowing round balls dancing in the sky at dusk
