Date Submitted,Date of Sighting,City,ST,Short Description
11/19/2018,11/18/2018,North Phoenix, AZ,"{rjl} During the Leonid meteor shower, just before dawn. I was in the backyard of our North Phoenix home, and noticed a strange blinking light."
11/16/2018,11/15/2018,El Mirage , AZ,"{cak} I went out to my backyard at 10:00 pm with binoculars to look for any of the Leonid meteor shower, as I scanned the sky's I noticed a red glow coming from the north in a direct line north to south. No noise and it was casting a red glow ."
11/13/2018,11/12/2018,Phoenix, AZ,{cak} 4 lights traveling from west to east like landing in angle 45degree
11/6/2018,11/2/2018,Bullhead City, AZ,{jpg} Assumed it was an object but saw no object just a soft blueish hue light flying on a path
7/16/2018,2/5/2018,Albuquerque , NM,{td} Orbs around my house for months now
6/26/2018,5/13/2018,Carrizozo, NM,{td} Stationary star suddenly takes counterclockwise orbit
5/19/2018,3/20/2018,Alamogordo, NM,{cak} Two time lapse photos captured unusual lights.
5/12/2018,5/8/2018,Aztec, NM,{td} Amber colored light pattern observed thru a telescope.
5/9/2018,5/8/2018,Holloman Air Force Base, NM,{td} at first two orange yellow lights just stationary In the sky then a third appeared in a triangle like formation.
5/2/2018,3/4/2018,El Rito, NM,{jpg} 7-9 unknown orange globes descended from clouds and erraticly headed South above the houses across the street.
4/20/2018,4/18/2018,Shiprock, NM,{cak} 6 bright lights hovering over Shiprock Mountain
3/7/2018,3/7/2018,Albuquerque, NM,{jpg} I yelled to them f**k you grays and through the finger up to them.
3/1/2018,2/27/2018,Albuquerque, NM,"{td}In two nights in a row, while driving west in Abq, saw a hovering white light in the SW of town, (more west),. It stayed in that stationary position for a long time, maybe 20-40 mins and then it started moving but not like known flight behavior."
2/10/2018,2/6/2018,Lordsburg, NM,"{jpg} Looked like the moon behind clouds, but the night sky was CLEAR"
2/10/2018,2/6/2018,Las Cruces, NM,{jpg} Glowing green orb in sky moving at a medium pace leaving behind temporary green mist that evaporated.
2/8/2018,2/3/2018,Abiquiu, NM,"{jpg} 3 white diamond shapes, 1 blue diamond shape"
2/7/2018,2/6/2018,Las Cruces, NM,{jpg} stationary like a star with white mist around it.
2/7/2018,2/6/2018,Las Cruces, NM,{jpg} Vertical bow tie clouded light came toward us then turned to the south and left a double tail then huge cloud
2/7/2018,2/6/2018,Raton Pass, NM,"{jpg} At first it looked like a star, then got larger then changed shape and direction then looked like a comet"
2/6/2018,2/6/2018,NM, US,{jpg} 10 minutes of starlike fuzzy shape with defined glowing center. Stationary beforehand rocketing into the atmosphere leaving large blue white bplume trail.
2/6/2018,2/6/2018,Las Cruces, NM,"{jpg} slow-moving, very bright object with cloud around it, then double tail"
2/4/2018,2/1/2018,Sante Fe, NM,"{jpg} Driving N on 84/285 from Sante Fe NM, large saucer shaped object hovering out drivers side window - could be lenticular cloud"
1/31/2018,1/1/2018,Albuquerque, NM,"{td}Loose group of 10 objects slowly ascending, left convoluted trails in photo."
1/25/2018,1/24/2018,Espanola, NM,{jpg} It came from the south to north descending and turned while descending West until it landed I guess I lost view once it went behind the Walgreens building
1/20/2018,1/20/2018,Las Cruces, NM,"{rjl} Triangular shape outline visible, then red orange light turned on, outline no longer visible only red orange light, light dimmed then increased in brightness, then dimmed and was no longer visible"
1/12/2018,1/11/2018,Santa Fe, NM,"{cak} Strange Jack Frost configuration on windshield of car January 11, 2018"
1/10/2018,1/8/2018,Santa Fe, NM,"{cak} I was taking pictures after dusk. When I put my pictures on my computer, I saw a round, transparent object amid and behind the clouds."
1/21/2019,9/4/2018,Deming, NM,"{jpg} MUFON # 94689 In all probability high altitude balloon from Holloman AFB, NM."
1/17/2019,11/26/2018,Roswell, NM,{rjl} Photograph taken from commercial jet above Roswell approaching ABQ
1/13/2019,12/15/2018,Deming, NM,"{rjl} Traveling ,as well as landing , slow fly over , daylight sighting as well as night , over two months , still ongoing events in area ."
12/21/2018,12/20/2018,Clovis, NM,{rjl} Object was hovering in the air over the golf course and then gone
12/16/2018,12/15/2018,NM, US,photo
12/14/2018,12/8/2018,NM, US,{cak} Two Brazen Triangular UFOs fly's by SpaceX Dragon Capsule during Docking
12/11/2018,12/9/2018,Alamogordo, NM,"{cak} Bright white light descended straight down at constant velocity, stopped at ~800', then proceeded horizontally N at a high rate of speed."
12/5/2018,10/5/2018,Santa Fe, NM,{jpg} still in sky huge light composed of several lights in sifting patterns
12/4/2018,12/4/2018,Albuquerque, NM,"{jpg} Driving home when I noticed two glowing lights, they separated then vanished upon observation from home."
12/1/2018,11/25/2018,Deming, NM,"{tjd} UFO Sighting in Deming, NM 11_25_18"
11/14/2018,11/14/2018,Raton, NM,{cak} Hovered and slowly flew out of atmosphere
11/10/2018,11/9/2018,Cloudcroft / Mayhill, NM,{dr}Grey sphere captured on video.
11/9/2018,11/9/2018,NM, US,{dr}Just posted up in the sky
11/3/2018,8/15/2018,Las Cruces, NM,"{tjd} i was visiting las cruces n.m. while walking, i decided to take photos of the scenery, e.g. mountains, etc. before i emailed the photos to my kin, i enlarged photos for panaroma. when i enlarged 3rd foto, i saw a strange , oval object"
10/22/2018,8/14/2018,Abiquiu, NM,{cak} Light in sky disappears after I felt urged to look left
10/15/2018,9/23/2018,east of albuquerque on rt, NM,{rjl} driving east on rt 40 approaching albuquerque nm observered what we thought was a star.
10/14/2018,10/13/2018,Albuquerque , NM,"{rjl} Orbs in triangle formation, orbs disappear then reappear turning into fireworks then disappearing behind a tree with orbs still visible."
10/13/2018,10/12/2018,Albuquerque, NM,{tjd} HOVERING UNIDENTIFIED CRAFT WITH BRIGHT ORB LIGHTS THAT FLEW IN AND OUT OF FORMATION
10/6/2018,10/5/2018,Albuquerque, NM,"{jpg} First saw shooting star, then multiple lightning like explosions, then a beam of white light which traveled fast and wild over the mountain."
9/15/2018,9/4/2018,Alto, NM,{cak} See photos
9/14/2018,9/14/2018,Sante Fe, NM,"{cak} Driving up Santa Fe ski basin mountain, perfect blue sky, two identical white non-reflective discs with domed top."
9/11/2018,9/10/2018,Edgewood, NM,"{cak} Very bright light blueish sliver fast-moving, changing directions stopping and hovering. Very bright flash."
9/9/2018,9/8/2018,Las Crucez, NM,{cak} Light hovered the would disappear and reappear. Seen what looks like big drone before light appear
9/5/2018,9/4/2018,Deming, NM,{jpg} Saw a hovering orb in the sky at 6:30pm with my husband. Got camera and called neighbors. Then 3 more lights appeared and they all disapeared.
8/17/2018,8/17/2018,Truth or Consequences, NM,"{cak} Saw object streak across sky, stop and hover appx 25 minutes, 2nd time I saw this event."
8/13/2018,8/12/2018,Los Lunas, NM,{cak} flying metal donut shape.
8/9/2018,7/17/2018,Elephant Butte, NM,{jpg} Bright light in the stars with a jagged tail.
8/4/2018,8/3/2018,Tijeras, NM,{rjl} Observed a very bright spherical object through my telescope which appeared to be hovering over Albuquerque NM
7/22/2018,7/21/2018,Albuquerque , NM,{cak} UFOs 2 white glowing and 2 amber glowing
7/22/2018,7/21/2018,Albuquerque, NM,{cak} Me and four friends saw these ufos One at a time
7/22/2018,7/18/2018,Albuquerque, NM,{cak} Seen various objects coming in and out of cloud
7/16/2018,7/15/2018,NM, US,{td} Very huge white orbs around me and my house
7/15/2018,7/12/2018,Taos, NM,{td} My girlfriend and I were cloud watching when we both spotted different shaped anomalies
7/6/2018,7/1/2018,Deming, NM,"{dr}Looking out passenger seat window. Saw object come out from behind a hill. Very clear, open skyline."
1/7/2019,4/20/2018,Denver, CO,{cak} I have pics of 3 separate ufos and orbs at 3 differnt places in Colorado.
1/1/2019,3/26/2018,Pueblo, CO,{dr}Red with white flashes and white going around it.
5/28/2018,1/6/2018,CO, US,"{td}I wasn't in up bath room. And I still imagine of a gray popes in my mind of a gray alien then all of a sudden I'm waking up in a 4 sided room with a on earth way glass and a door to its right my left, I have a sheet layer diagonal over my left eye I'm"
5/17/2018,4/25/2018,Lakewood, CO,{cak} Followed a straight line in the sky then slowly descended in a straight line
4/30/2018,4/25/2018,Denver, CO,{jpg} Captured on the CBS Morning News UFO's approximately over the Denver State Capital
4/15/2018,4/14/2018,CO, US,{cak} Object in the night sky far away moving very slow with flashing light
4/11/2018,4/10/2018,Denver, CO,{td} MULTICOLORED LIGHTS ON BOTH ENDS WITH A BLACK OBJECT IN CENTER
4/8/2018,4/8/2018,Falcon, CO,"{td} Brown cylinder object appeared to be floating on the wind, but changed spped & elevation. Shot to the left. Hovered. Accelerated away abruptly."
4/7/2018,4/7/2018,Aurora , CO,{jpg}Me n my daughter were walikng back home from the storen i looked up inthe sky n it looked like the sun sun was still out. So my daughter had my phone n she took the picture. N when the picture was done there was a straight beam of light from the sky.
4/3/2018,3/31/2018,Evergreen, CO,"{jpg} Caught in a photo of the full moon. I could not see it with the naked eye. But when I was looking at photos. There was this strange green spaceship looking thing, with a purple exhaust coming out the bottom. And it is in a few different photos."
3/30/2018,3/29/2018,CO, US,"{td}Flashing object almost straight up from my location started from west to east in an erratic motion ..very slow, slower than a satellite, flashing about every 60 seconds sometimes dull and then very bright."
3/28/2018,3/24/2018,Arvada, CO,{td} Was taking pictures of many jet streams and saw in photo later
3/24/2018,3/23/2018,Longmont, CO,{rjl} my 2 roommates and I seen a bight light appeared and travel SE and up into the clouds over longs peak from longmont
3/19/2018,3/3/2018,Colorado Spings, CO,{rjl} Bright large stationary orbs disappearing then reappearing
3/15/2018,3/14/2018,Fort Collins, CO,{cak} 8ish yellow-orange lights in a chevron alignment spinning similar to a clock. Moved across eastern sky an hour after sunset then faded away.
3/15/2018,3/14/2018,Alamosa, CO,"{cak} Was driving through wetlands passed Rio Vega Ranch and found several mutilated cattle with faces removed, and very messed because no blood"
3/12/2018,3/12/2018,Delta, CO,{cak} Vertical popcicle shape light in sky blinked then left. Two round orange lights appered just after.
3/9/2018,3/8/2018,Bailey , CO,{jpg} Good sized dark egg shape hovering over foothills.
3/6/2018,3/2/2018,Gardner, CO,{jpg} Bright lights in the sky lit up ground- looked like 4 headlighs in the sky moved miles in a second reappeared in totally different area
3/4/2018,3/4/2018,Northglenn, CO,"{jpg} saw an airplane, then noticed while circular craft traveling SW faster than an airplane. travels maybe 50 miles in 30 nseconds. Then seemed to stop and descended to the right of it original staight path, disappeared into a small cloud never exited."
3/3/2018,3/2/2018,Woodland Park, CO,{td}2 balls of yellow to orange in color hooping each other before getting together and disappearing
3/1/2018,2/24/2018,loveland, CO,{td}a tiny dot until zoomed in
2/27/2018,1/19/2018,Walsenburg, CO,{td}UFO observed on film after shooting a 12 minute time-lapse of a sunrise.
2/25/2018,2/25/2018,Fort Collins, CO,{td}I saw four ufos in pattern formation descend from the north at high speed and head south in a straight-line at an unbelievable speed.
2/24/2018,2/11/2018,Denver, CO,{rjl} Entity hovers and takes flight path of my direction
2/15/2018,2/13/2018,Pueblo, CO,{cak} Observed lights in the sky that came and went in numbers of 1 to 4 followed this activity for 15 minutes till object hovered and begun to spin
2/14/2018,2/13/2018,wetmore, CO,"{cak} Glowing red/orange objects stayed in same place for 30 min.Colors went from dark orange to light orange from side to side and changed sequence. It started out with two. Then three. Then around6-7, Then would go back to smaller, Then start over again"
2/7/2018,1/28/2018,CO, US,{jpg} I took these pictures from my flight over Colorado. This appears to be a large structure isolated in the mountains.
2/7/2018,2/6/2018,Castle Rock , CO,{jpg} Flying white light with giant plume coming out from around it indicating fast velocity
2/7/2018,2/6/2018,Kiowa, CO,{jpg} Two misty bright light trails (V shape) appeared and left large conical lighted/smoky(misty) shape - no lights on front center point of V
2/6/2018,2/6/2018,Denver, CO,"{jpg} I thought it was the moon behind a cloud, but it was a very clear out, so I kept my eye on the object. Then it started moving east;looked triangular with two tails pointing west"
2/6/2018,2/6/2018,Westcliffe, CO,"{jpg}Bright, large, stationary light hovering over Sangre De Cristo Mountains. Very gradually headed straight east, then suddenly traveled east with extreme speed. Left an enormous, illuminated triangular cloud. Zoomed in photographs reveal three lights"
2/6/2018,2/6/2018,Denver, CO,{jpg} Husband and I watched for ~5 min. similar to space x seen over arizona around christmas.
1/24/2018,1/23/2018,Littleton, CO,{jpg} I first saw it and it looks like a line of lights and one light brighter than the rest of them and it kind a move long toward South Southwest. It was hovering and the lights were just Chynna go on they look strange that¡¦s what caught my eye about i
1/22/2018,1/17/2018,morrison, CO,{jpg} Submitting on behalf of a friend who would like to remain anonymous
1/16/2018,1/12/2018,Colorado springs , CO,{rjl} Was driving when I seen object over airfoce base so pulled over and pulled out my phone and started recording
1/11/2018,1/11/2018,Bayfield, CO,"{cak} Bright, patterns severely weeks, real bright"
1/1/2018,1/1/2018,Denver, CO,{dr}Approx 12:10 am 1-1-18 we saw hovering above Lockheed Martin Orange then white then faded out
12/14/2018,5/30/2018,Lake George , CO,"{cak} Driving on HW 24 in the evening. Noticed a bright, disk-shaped object. It started to flash its lights erratically. Oberved for 20 mintues. Object hovered in stationary position."
10/18/2018,8/7/2018,CO, US,silent lightning storm constant flashing over cheyanne mountain military complex airliner? flew out of portal.
9/2/2018,8/31/2018,Colorado Springs, CO,{jpg} Impossible to leave short description
8/30/2018,8/26/2018,Castle Rock, CO,{td} Silent silver rectangle passing over my house.
8/27/2018,8/27/2018,Denver, CO,{td} 2 lights at different elevations traveling together. One blinked out and then the other. No cloud noted to obstruct view.
8/27/2018,8/23/2018,Greenwood Village, CO,{td} Glowing orb near Denver
8/26/2018,8/25/2018,Granby, CO,{td} Witnessed large V-shaped object fly over head. I was larger than any commercial plane and may have been higher.
8/24/2018,8/18/2018,CO, US,{rjl} I saw what I think was a UFO while I was on a plane
8/24/2018,5/26/2018,Berthoud, CO,{rjl} New military-grade prototype drone/fighter?
8/24/2018,5/24/2018,Berthoud, CO,{rjl} New military-grade prototype drone?
8/24/2018,6/9/2018,Canon City, CO,{rjl} Very large saucer shaped object with prominent white lights surrounding craft.
8/21/2018,5/21/2018,GOLDEN, CO,{rjl} SAW A CYLINDRICAL SHAPED LIGHT WITH SMALLER BLINKING RED LIGHT UNDERNEATH
8/20/2018,8/19/2018,arvada, CO,{rjl} human being light being shown light into my room
8/18/2018,8/18/2018,Broomfield , CO,{cak} Spherical light hovering under clouds for 28 min after observed lightning storm
8/13/2018,8/12/2018,Parker, CO,{cak} A UFO orb type object with reflective qualities.
8/8/2018,8/7/2018,Denver , CO,"{jpg} I was sitting in the back yard at night and noticed it a really bright light going SE ,so I took a video of it, there were a few clouds and the object just vanished, no noise at all."
8/6/2018,8/5/2018,Centennial , CO,"{jpg} I witnessed very large bright light in the southwest sky. It's still out there at 11:10pm. It has been a solid yellow light, has dimmed, has gone out completely and reappeared. It has rotated and turned many colors and stopped and been solid yellow"
8/5/2018,8/3/2018,Fort collins, CO,{jpg} Seen beams of light over mountain top moving in a pattern
8/3/2018,8/2/2018,Ft Garland, CO,{rjl} Orbs?
8/1/2018,7/31/2018,CO, US,"{rjl} Orangish-white object seemed to bounce up and down, left and right..."
7/30/2018,7/29/2018,CO, US,{rjl} red orange light in western sky
7/18/2018,7/14/2018,Edgewater, CO,"{td} Witnessed a cylinder shape object w/ no propulsion or sound, no wings/no tail"
7/16/2018,7/15/2018,Arvada, CO,"{td} Looking at stars last night one seemed to explode in white then yellow flash, emitting orb or beam."
7/12/2018,5/1/2018,arvada, CO,{jpg} was so mysterious don't really know when it happened
7/12/2018,7/11/2018,Fort Collins, CO,{jpg} White object hovering at 30-40 degrees to the north of Ft. Collins. Multiple witnesses.
7/9/2018,7/7/2018,Akron, CO,"{jpg} Bright light looked like 3 stars vertical and attached, pitch black sky photos reveal an amazing sight!"
7/5/2018,7/4/2018,CO, US,{dr}Lights in the sky like the ones seen in Arizona and Mexico.
6/20/2018,6/16/2018,Beulah, CO,"{rjl} Fast-moving trapezodial lights on clouds, + beam up or down from clouds in mountainous area"
6/15/2018,6/6/2018,Denver, CO,{cak} During this storm on June 6th there was an orb that was making weird Maneuvers above the Colorado capital
6/10/2018,6/10/2018,Louisville Co, CO,{cak} 3 lights in triangular shape brighten and dim.moving slow but hovering and change direction and rotate
6/8/2018,6/7/2018,Colorado springs, CO,"{jpg} 5 object, all around the area of my house, one above my house, daughter saw too, tried to video"
6/6/2018,5/31/2018,Denver , CO,"{jpg} Hovering above my apartment building. I actually thought it was the moon, except it was in the wrong place."
6/3/2018,6/3/2018,Grand junction, CO,{jpg} Bright flashing light that made several explosions
6/2/2018,6/1/2018,Cedaredge, CO,{td} Saw what we thought was Satellite. Flashed my flash light at it. 3 seconds later we were blasted with a beam.
6/1/2018,6/1/2018,Littleton, CO,{td} I saw a Martian and it looked like Bigfoot and it came out of ship and it knew me somehow and it spoke in a language that is not human but i knew it somehow
6/1/2018,6/1/2018,Denver, CO,"{td} Chrome disc with dull silver-gray bottom silently heading in one direction, then changing directions, reflecting sunlight at all times"
5/31/2018,5/31/2018,Edgewater, CO,"{td} Observed 2 bright objects, one descended towards earth and vanished while the 2nd object began back & forth linear path"
5/31/2018,5/31/2018,Aurora, CO,"{td} Silver object moving slowly from west to east, the turned north."
5/29/2018,5/29/2018,Castle Rock, CO,{td} Oblong object observed in straight path to ground
5/26/2018,5/25/2018,pagosa springs, CO,{td} I summons the UFO's & they come. I am discret and quick to get photos needed.
5/18/2018,5/1/2018,Ridgway colorado, CO,{cak} We have video taken from our home security cameras of craft. It happned early in the am.The vidio of as taken showing multiple craftoveing slowly above the treeline abot 100 feet from our home. The vidio shows the craft rotating slowly and moving
5/16/2018,5/15/2018,Northglenn, CO,{cak} I was pulling into my driveway after dropping my kid off at school and noticed a hovering shiny object that was not a domestic aircraft.
5/11/2018,5/10/2018,CO, US,{td} gaseous pink oval with brighter but dim lights inside flying across my line of sight and against wind
5/10/2018,5/10/2018,Westminster, CO,{td} I observed the object moving south to north against the wind
5/9/2018,5/9/2018,CO, US,{td} five dots were circling around making various shapes then they all got into a pentagon formation and took off west.
5/8/2018,5/7/2018,COLORADO SPRINGS, CO,{td} many smaller objects lifted then larger ones so... video
5/7/2018,5/7/2018,CO, US,{td} Two craft stuff
5/6/2018,5/4/2018,Colorado Springs, CO,{td} I was flying the Ufo in my dream... Two differnt times then woke up with The Red Grid pattern on left side of my back
5/4/2018,5/4/2018,Highlands Ranch, CO,{jpg} Three circular white/silver objects hovering in place in the sky for 10 minutes after two planes fly by and vanished from exact same spot they appeared from.
1/16/2019,12/4/2018,CO, US,{rjl} Hard to explain just have to see the video
1/10/2019,12/13/2018,Franktown, CO,{cak} Saw blue orb in photo
1/10/2019,12/17/2018,Cannon city, CO,{cak} I was takeing a photo of the mountains in the distance from sisters back porch
1/6/2019,12/20/2018,Englewood, CO,{cak} orbs circling then stopped and disappeared like eraser on blackboard
12/30/2018,12/30/2018,Colorado Springs , CO,{tjd} White light with two red lights slowly flashing above making a triangle which then split into at least 6 other red lights which followed my path then hovered over Colorado Springs
12/28/2018,12/28/2018,Evans co, CO,{tjd} On my way home coming in from the highway I see these huge glowing beams floating all over the city of greeley and Evans
12/26/2018,12/24/2018,Sterling , CO,{tjd} Odd fake moon I have pictures and no moon at all today random color changing light move slowly but speraticly
12/23/2018,12/22/2018,Colorado Springs, CO,{tjd} recorded a fast moving light /object on our security camera
12/21/2018,12/19/2018,CO, US,{rjl} Abduction that happened after I watched videos about John Edmonds and alien activity at the Stardust Ranch
12/17/2018,12/15/2018,Denver, CO,"{rjl} Driving West bound on I76, saw 4 lights in the sky. First were in straight vertical line. Then became diamond formation, then descended heading West"
12/16/2018,12/16/2018,thornton, CO,{rjl} 3 faint red light in triangle formation size of asprin dark in between light east to west extremely fast
12/12/2018,9/10/2018,Canon City, CO,{cak} Object which is closely guarded within military channels perhaps. UNK.
12/11/2018,12/11/2018,Loveland, CO,{cak} Large stationary object in SE sky with numerous bright lights - brighter than the moon would be. No moon in sky.
12/9/2018,12/8/2018,greeley, CO,{cak} just happen to look out window saw lights that were never there before
12/8/2018,12/7/2018,genesee, CO,"{jpg} walking through the streets at night, we noticed a cluster of lights and an outline that we hadn't seen in the sky there before."
12/7/2018,12/1/2018,calhan, CO,{jpg} Bright orb
12/6/2018,11/20/2018,Greenwood Village, CO,{jpg} A vertical cylinder with a saucer-like piece on top.
12/5/2018,11/19/2018,Colorado Springs , CO,{jpg} I was at the summit of Pikes Peak and snapped a LivePhoto of me with a ufo in the sky behind me.
12/5/2018,9/23/2018,Canon City, CO,{jpg} Utter proof of 90 degree turns in less than one minute.
11/30/2018,11/30/2018,Mancos, CO,"{tjd} object in storm clouds, break in storm clouds object sighted. object sped up to get in storm clouds again"
11/27/2018,11/25/2018,Loma, CO,"{tjd} Shiny metallic oval traveling eastward, then reversed course, accelerated, and disappeared"
11/22/2018,11/21/2018,Centennial, CO,{rjl} Black triangle
11/17/2018,9/15/2018,Red Feather Lakes Village, CO,I had seen a light over the mountain range that did not look like any recognizable aircraft taking spuratic flight patterns.
11/14/2018,9/8/2018,Wilmington, CO,{cak} While eating on the Fantail of the North Carolina Battleship a bright blue traveling from my right to left came to a Instant stop before me then continued travel to left came to an instant stop for some minutes then reversed going back to my right .
11/5/2018,10/26/2018,Granby, CO,"{jpg} Sphere over 4 feet in diameter, silent, broad daylight reflecting sunlight, Black in color passed into a cloud and out again on same course."
11/4/2018,10/3/2018,Boulder, CO,{jpg} Human/dog like creature
10/27/2018,9/13/2018,ASPEN, CO,"{tjd} A craft hovered above a lake. It ascended a bit, changed course, then vanished."
10/26/2018,10/26/2018,Loveland, CO,"{cak} Very bright, slow moving object, up from horizon in west to east flight path"
10/23/2018,10/22/2018,Colorado Springs, CO,"{cak} Object appeard and remained in the sky for over an hour, abrupt disappearance. Moved slowly due West"
10/23/2018,10/23/2018,Fort collins, CO,"{cak} Dim lights v shape glided in straight path over campus heading south. About 7 indv. Lights, glowing dim. Massive wingspan, not too high above ground. Saw shadow pass in front of stars, hard to make out but visible. Watched for 10 sec before it was"
10/22/2018,10/22/2018,Fort Collins, CO,{cak} Appeared like a chrome metal reflecting object
10/19/2018,10/19/2018,Littleton, CO,"{rjl} Observed coming from the SW turned over front range, hovered, changed direction to North disappeard"
10/7/2018,9/29/2018,Golden, CO,{tjd} Was on date and took pics of view and upon looking at photos i see the object
10/5/2018,10/5/2018,Trinidad, CO,{jpg} Very clear large black flying V with 2 very bright white lights on each wing (4) and a white light on the nose. It was travelling faster than anything I've ever seen fly.
10/4/2018,10/4/2018,Littleton, CO,{jpg} Cluster of large number of craft that moved like a school of fish
10/4/2018,10/3/2018,Aurora, CO,{jpg} Witnessed either an aircraft or spacecraft moving west to east at high altitude. The craft stopped and hovered near local AFB
9/30/2018,9/30/2018,Denver, CO,"{jpg} Orange, glowing ball of light that hovered and then descended behind mountains."
9/23/2018,9/23/2018,Denver, CO,"{dr}Pinhole light moved from ne to sw for about 1 minute looked like a star moving was moving at a good pace but not fast like a meteor seemed more controlled ,traveled for 30 secs then got a lot brighter then went to original brightness and kept moving t"
9/23/2018,9/19/2018,Denver, CO,{dr}Continual rolling thunder sound. Lasted for 20 minutes. Heard similar soun before in about May. Thunderstorm in area. This was something else.
9/21/2018,9/21/2018,Fort Collins, CO,{rjl} Was checking mail when saw it and started recording it
9/20/2018,9/18/2018,Denver, CO,"{rjl} While preparing to land at Denver, metallic orb seen / reflecting light near Front Range air force base"
9/19/2018,9/18/2018,trinidad, CO,"{rjl} observed single orbs not as many as other nite, about to go in saw a v formation"
9/18/2018,9/12/2018,Monument , CO,Visited by multiple crafts/beings
9/18/2018,9/17/2018,Highlands Ranch, CO,{rjl} This object was about 200-300 ' up and done shaped top with lights on the bottom only moved several directions made no noise and then it disappeared
9/16/2018,9/15/2018,trinidad, CO,one of many objects thougth the nite!
9/12/2018,9/12/2018,Loveland, CO,"{cak} Random atmospheric flashing, slow moving"
9/9/2018,9/7/2018,Idaho springs, CO,{cak} We saw a whiteish translucent oval shaped object hovering in broad daylight for three hours unti It got dark. Then it was Gone in the morning. Not a drone or anything known.
9/8/2018,9/8/2018,aurora, CO,"{jpg} saw a star flash sort of like it exited time and space, and it was gone"
9/7/2018,9/7/2018,Colorado Springs, CO,{jpg} Green glowing ORB larger than any aircraft moving at incredible speed over mountains
11/15/2018,11/14/2018,Kemmerer, WY,"{cak} It may have landed on mountain, ascended, flaired up, expanded, then moved with increasing speed"
11/4/2018,10/15/2018,Buckhorn, WY,{jpg} 4 white triangles in blue sky and 2 domes in clouds
10/25/2018,10/16/2018,Midwest, WY,{cak} Green glowing ball.
10/13/2018,10/12/2018,Casper, WY,{tjd} two of them in perfect sinc going from left of sky to right quickly no noise from them glowing getting brighter then BYE!
9/3/2018,9/2/2018,Casper, WY,{jpg} Blue Fireball/Orb Explodes and Cuts through sky.
9/2/2018,8/24/2018,casper, WY,{jpg} I was takening star trails and the camera photoed took the object
7/21/2018,1/4/2018,WY, US,{td} Very large dull grey disc with a dome on top and underneath
7/12/2018,6/28/2018,Gillette, WY,{jpg} Orb reflecting light iin sunset.
6/7/2018,6/7/2018,WY, US,{jpg} Picture
12/27/2018,12/4/2018,polson, MT,{tjd} watched portal form in space and 9 sparks 'rained' out of it flew into atmosphere and formed a staggered 2 row v headed south east fast no sound.
12/22/2018,12/21/2018,Bozeman, MT,{rjl} flame colored boomerang lights moving over city. Please call me.
10/28/2018,6/26/2018,Noxon, MT,"{tjd} Was on my porch,and witnessed them."
10/25/2018,10/23/2018,Billings, MT,"{cak} White disk looked like cloud at first but then rotated, didn't spin"
10/22/2018,10/19/2018,Plains, MT,{cak} House is 3 stories - daughter from Alaska was on 2nd floor bedroom and the lights lit up bedroom she went to window and saw it in the yard. 1230 midnight.
10/18/2018,10/18/2018,Seeley lake , MT,"{rjl} Multiple objects, two of which were tremendously larger. One was white & elongated coming from mountains toward large colorful stobe light type craft."
10/6/2018,10/6/2018,Frazer, MT,{jpg} Looked up in southern sky and saw what appeared to be a star fluctuating and acting erratically
9/27/2018,9/27/2018,Bozeman , MT,{dr}Looked up at sky to see moon through cloud cover and noticed the green light flashing
9/20/2018,9/19/2018,Missoula, MT,"{rjl} Searchlight-like lights perfectly stationary, but pulsated irregularly."
8/18/2018,8/18/2018,MT, US,{cak} My ex wife says these lights follow her every night. She has pictures. She very scared and is begging me to help her. I thought of you. Please call her.
8/14/2018,8/13/2018,Havre, MT,"{cak} While watching meteor showers, I saw 2 lights flying a small distance apart, thought they were one big ship but then 1 would go faster than other one. They both stopped @different times and changed directions, until disappearing."
8/6/2018,8/3/2018,MT, US,{jpg} I took a picture and later noticed this in the background. I heard nothing
7/17/2018,7/16/2018,Billings, MT,"{td} This is a regular occurance for me at night, no matter the location"
7/9/2018,7/7/2018,Missoula, MT,"{jpg} Bright reddish-orange object in the sky, the characteristics where those of a commercial airliner...except it's very unusual color."
5/21/2018,5/5/2018,Boulder, MT,{rjl} This video was seen on my trail cam with motion sensor / infrared. My dogs went crazy at this area on their morning walk.
4/7/2018,4/7/2018,Butte, MT,{jpg} 2 bright orbs one was above the big M for 3 hours and the other one shot away above the East ridge faster than a jet and made no sound the one above the big M went bright then dim then bright again
3/22/2018,3/20/2018,Wolf Point, MT,{rjl} Saw 4 orange lights in a V patter
3/19/2018,3/19/2018,MT, US,{rjl} Black rock like substance and a gooey sticky rice like substance found in front yard in the snow. No tracks around it but it look like it was very hot when it made contact with the snow since it was melted around the objects.
3/9/2018,3/9/2018,missoula, MT,{jpg} invisible terrestrial entities-Archons
3/4/2018,2/24/2018,Missoula, MT,{jpg} two obects came over the valley hovered dropped one silver looking fireball each and faded away
2/12/2018,2/12/2018,Missoula, MT,{cak} 4 Hovering/Moving Orange Lights in the western Horizon
1/29/2018,1/13/2018,lewistown, MT,"{dr}disc shaped, with box like top"
1/25/2018,1/24/2018,Great Falls, MT,{jpg} black shape sphere like over 1/2 acre in size by AF security police who were 2 miles away
1/15/2018,1/15/2018,whitefish, MT,{rjl} SR-72? AURORA? PULSE JET TECH.? PULSE DETONATION ENG?
4/23/2011,4/15/2018,MT, US,things are not right over the course of years.things i can not tell anyone.
