State,Month,Count
KS,"Aug, 2018",2
KS,"Sep, 2018",1
KS,"Oct, 2018",3
KS,"Nov, 2018",1
KS,"Dec, 2018",1
KS,UFO 2018,20
KY,"Jan, 2018",4
KY,"Feb, 2018",2
KY,"Mar, 2018",3
KY,"Apr, 2018",1
KY,"May, 2018",2
KY,"Jun, 2018",1
KY,"Jul, 2018",12
KY,"Aug, 2018",3
KY,"Sep, 2018",2
KY,"Oct, 2018",6
KY,"Nov, 2018",5
KY,"Dec, 2018",4
KY,UFO 2018,45
LA,"Jan, 2018",5
LA,"Feb, 2018",1
LA,"Mar, 2018",5
LA,"Apr, 2018",3
LA,"May, 2018",1
LA,"Jun, 2018",0
LA,"Jul, 2018",1
LA,"Aug, 2018",3
LA,"Sep, 2018",3
LA,"Oct, 2018",3
LA,"Nov, 2018",4
LA,"Dec, 2018",2
LA,UFO 2018,31
MA,"Jan, 2018",3
MA,"Feb, 2018",4
MA,"Mar, 2018",6
MA,"Apr, 2018",1
MA,"May, 2018",6
MA,"Jun, 2018",9
MA,"Jul, 2018",3
MA,"Aug, 2018",5
MA,"Sep, 2018",11
MA,"Oct, 2018",4
MA,"Nov, 2018",3
MA,"Dec, 2018",5
MA,UFO 2018,60
ME,"Jan, 2018",3
ME,"Feb, 2018",4
ME,"Mar, 2018",3
ME,"Apr, 2018",4
ME,"May, 2018",3
ME,"Jun, 2018",2
ME,"Jul, 2018",7
ME,"Aug, 2018",3
ME,"Sep, 2018",4
ME,"Oct, 2018",3
ME,"Nov, 2018",0
ME,"Dec, 2018",1
ME,UFO 2018,37
MI,"Jan, 2018",9
MI,"Feb, 2018",7
MI,"Mar, 2018",16
MI,"Apr, 2018",15
MI,"May, 2018",12
MI,"Jun, 2018",12
MI,"Jul, 2018",17
MI,"Aug, 2018",12
MI,"Sep, 2018",9
MI,"Oct, 2018",14
MI,"Nov, 2018",5
MI,"Dec, 2018",9
MI,UFO 2018,137
MN,"Jan, 2018",4
MN,"Feb, 2018",1
MN,"Mar, 2018",4
MN,"Apr, 2018",4
MN,"May, 2018",3
MN,"Jun, 2018",3
MN,"Jul, 2018",9
MN,"Aug, 2018",3
MN,"Sep, 2018",4
MN,"Oct, 2018",8
MN,"Nov, 2018",8
MN,"Dec, 2018",1
MN,UFO 2018,52
MO,"Jan, 2018",9
MO,"Feb, 2018",4
MO,"Mar, 2018",7
MO,"Apr, 2018",3
MO,"May, 2018",4
MO,"Jun, 2018",8
MO,"Jul, 2018",13
MO,"Aug, 2018",11
MO,"Sep, 2018",8
MO,"Oct, 2018",5
MO,"Nov, 2018",6
MO,"Dec, 2018",3
MO,UFO 2018,81
MS,"Jan, 2018",3
MS,"Feb, 2018",0
MS,"Mar, 2018",1
MS,"Apr, 2018",1
MS,"May, 2018",0
MS,"Jun, 2018",0
MS,"Jul, 2018",1
MS,"Aug, 2018",3
MS,"Sep, 2018",4
MS,"Oct, 2018",3
MS,"Nov, 2018",1
MS,"Dec, 2018",0
MS,UFO 2018,17
MT,"Jan, 2018",3
MT,"Feb, 2018",2
MT,"Mar, 2018",2
MT,"Apr, 2018",1
MT,"May, 2018",1
MT,"Jun, 2018",1
MT,"Jul, 2018",2
MT,"Aug, 2018",1
MT,"Sep, 2018",2
MT,"Oct, 2018",4
MT,"Nov, 2018",0
MT,"Dec, 2018",2
MT,UFO 2018,21
NC,"Jan, 2018",7
NC,"Feb, 2018",3
NC,"Mar, 2018",8
NC,"Apr, 2018",4
NC,"May, 2018",10
NC,"Jun, 2018",8
NC,"Jul, 2018",4
NC,"Aug, 2018",9
NC,"Sep, 2018",7
NC,"Oct, 2018",10
NC,"Nov, 2018",5
NC,"Dec, 2018",6
NC,UFO 2018,81
ND,"Jan, 2018",0
ND,"Feb, 2018",1
ND,"Mar, 2018",1
ND,"Apr, 2018",0
ND,"May, 2018",1
ND,"Jun, 2018",1
ND,"Jul, 2018",2
ND,"Aug, 2018",1
ND,"Sep, 2018",0
ND,"Oct, 2018",0
ND,"Nov, 2018",1
ND,"Dec, 2018",0
ND,UFO 2018,8
NE,"Jan, 2018",0
NE,"Feb, 2018",1
NE,"Mar, 2018",4
NE,"Apr, 2018",0
NE,"May, 2018",0
NE,"Jun, 2018",4
NE,"Jul, 2018",0
NE,"Aug, 2018",2
NE,"Sep, 2018",2
NE,"Oct, 2018",1
NE,"Nov, 2018",1
NE,"Dec, 2018",0
NE,UFO 2018,15
NH,"Jan, 2018",0
NH,"Feb, 2018",1
NH,"Mar, 2018",2
NH,"Apr, 2018",1
NH,"May, 2018",0
NH,"Jun, 2018",1
NH,"Jul, 2018",3
NH,"Aug, 2018",2
NH,"Sep, 2018",2
NH,"Oct, 2018",3
NH,"Nov, 2018",1
NH,"Dec, 2018",1
NH,Total,17
NJ,"Jan, 2018",8
NJ,"Feb, 2018",6
NJ,"Mar, 2018",8
NJ,"Apr, 2018",7
NJ,"May, 2018",6
NJ,"Jun, 2018",10
NJ,"Jul, 2018",12
NJ,"Aug, 2018",9
NJ,"Sep, 2018",5
NJ,"Oct, 2018",12
NJ,"Nov, 2018",3
NJ,"Dec, 2018",6
NJ,Total,92
NM,"Jan, 2018",5
NM,"Feb, 2018",10
NM,"Mar, 2018",3
NM,"Apr, 2018",1
NM,"May, 2018",3
NM,"Jun, 2018",0
NM,"Jul, 2018",6
NM,"Aug, 2018",5
NM,"Sep, 2018",7
NM,"Oct, 2018",4
NM,"Nov, 2018",4
NM,"Dec, 2018",4
NM,Total,52
NV,"Jan, 2018",9
NV,"Feb, 2018",10
NV,"Mar, 2018",3
NV,"Apr, 2018",1
NV,"May, 2018",8
NV,"Jun, 2018",6
NV,"Jul, 2018",10
NV,"Aug, 2018",8
NV,"Sep, 2018",5
NV,"Oct, 2018",9
NV,"Nov, 2018",5
NV,"Dec, 2018",3
NV,Total,77
NY,"Jan, 2018",5
NY,"Feb, 2018",9
NY,"Mar, 2018",13
NY,"Apr, 2018",15
NY,"May, 2018",10
NY,"Jun, 2018",12
NY,"Jul, 2018",21
NY,"Aug, 2018",15
NY,"Sep, 2018",15
NY,"Oct, 2018",5
NY,"Nov, 2018",14
NY,"Dec, 2018",5
NY,Total,139
OH,"Jan, 2018",10
OH,"Feb, 2018",4
OH,"Mar, 2018",5
OH,"Apr, 2018",4
OH,"May, 2018",11
OH,"Jun, 2018",9
OH,"Jul, 2018",14
OH,"Aug, 2018",13
OH,"Sep, 2018",14
OH,"Oct, 2018",15
OH,"Nov, 2018",9
OH,"Dec, 2018",10
OH,Total,118
OK,"Jan, 2018",7
OK,"Feb, 2018",2
OK,"Mar, 2018",1
OK,"Apr, 2018",1
OK,"May, 2018",6
OK,"Jun, 2018",3
OK,"Jul, 2018",7
