,Date Submitted,Date/Time,Short Description,Location of Event,Long Description,Attachments
,,of Event,,,,
32,1/11/2018,1/6/2018,{cak} Saw two lights off Set From each other,"CA, US",,E7B235835B6B4EBA89735B531008C9FC.jpeg
,,12:00AM,,,,
33,1/10/2018,1/10/2018,{cak} Red lights in sky just hovering. No blinking. No movement. Steady & red.,"Walnut, CA, US",,
,,5:15PM,,,,
34,1/9/2018,1/6/2018,{cak} it happened during a commercial of the falcons vs rams overlooking hollywood,"hollywood, CA, US",,2018010914.54.03.3gp
,,12:00AM,,,,2018010914.57.06.3gp
,,,,,,2018010914.54.03.3gp
,,,,,,2018010914.57.06.3gp
35,1/6/2018,1/6/2018,{dr}Saw two lights off Set From each other,"CA, US",,E7B235835B6B4EBA89735B531008C9FC.jpeg
,,12:00AM,,,,B8EB413BD1A24F4E88AF251008F2F82F.jpeg
,,,,,,4F69F8EF8B0C4F448192D3E323DC3074.jpeg
,,,,,,059CCC973CCE4C30A0EA542FAE4C256F.jpeg
,,,,,,23EF82177B0E4220AA56F8F46FFB695E.jpeg
36,1/6/2018,1/5/2018,"{dr}With NightVision Monocular MANY Triangles could be observed, Very wierd Cloud density/movements/color","Geyserville, CA, US",,hey.jpg
,,10:00PM,,,,
37,1/6/2018,1/1/2018,"{dr}After I park my truck in the driveway I felt something was above me, I looked up and saw one static object in the sky.","Los Angeles, CA, US",,20180101163633.mp4
,,4:18PM,,,,
38,1/6/2018,1/5/2018,"{dr}I observed an oval shaped lighted object that appeared large. It appeared in an instant and flew in a straight line for about 3 or 4 seconds then blinked out like a snap. Very fast, faster than any plane or jet can travel. It wasn't a falling star.","Fresno, CA, US",,
,,8:45PM,,,,
39,1/4/2018,1/4/2018,{dr}Starlike Object Moving Across The Sky,"Santa Ana, CA, US",,VID20180104052105.mp4
,,5:20AM,,,,
40,1/4/2018,1/3/2018,{dr}2 types. Glowing triangles in western sky. One blinking light flew in to it a disappeared. 2 others flying towards it. High in the sky. 2nd was a string of grey orbs (5) less than 100 feet overhead about the size of an yoga ball. West on freeway,"Marina, CA, US",,DCC30D1364294D91B926F22046B8AA28.jpeg
,,6:40PM,,,,72A5A5C1D34648EE91FAE8261C64ED67.jpeg
41,1/3/2018,1/3/2018,{dr}Hoverin while communication with me I walked outside and looked up. Abducted returned then bright light then flashed again over 500 ft with boom and rumble and then they don't. Talking to me.,"Long beach, CA, US",,
