City ST,City,ST,State,Lat,Lng,,,,
Alamo TX,Alamo,TX,Texas,26.1795,-98.1183,,,,
Alamo ND,Alamo,ND,North Dakota,48.5825,-103.4675,,,,
Alamo TN,Alamo,TN,Tennessee,35.7832,-89.1166,,,,
Alamo CA,Alamo,CA,California,37.8546,-122.013,,,,
Alamo NV,Alamo,NV,Nevada,37.3648,-115.163,,,,
Alamo GA,Alamo,GA,Georgia,32.1469,-82.7798,,,,
Alamo IN,Alamo,IN,Indiana,39.9835,-87.0554,,,,
Alamo Alto TX,Alamo Alto,TX,Texas,31.4051,-106.0239,,,,
Alamo Heights TX,Alamo Heights,TX,Texas,29.4828,-98.4681,,,,
Alamo Oaks CA,Alamo Oaks,CA,California,37.8394,-121.993,,,,
Alamogordo NM,Alamogordo,NM,New Mexico,32.8834,-105.9627,,,,
Alamosa CO,Alamosa,CO,Colorado,37.4755,-105.877,,,,
Alanreed TX,Alanreed,TX,Texas,35.2125,-100.7343,,,,
Alanson MI,Alanson,MI,Michigan,45.4425,-84.7871,,,,
Alapaha GA,Alapaha,GA,Georgia,31.3832,-83.2237,,,,
Alarka NC,Alarka,NC,North Carolina,35.3532,-83.4454,,,,
Alba TX,Alba,TX,Texas,32.7905,-95.6344,,,,
Alba PA,Alba,PA,Pennsylvania,41.7059,-76.8277,,,,
Alba MO,Alba,MO,Missouri,37.2372,-94.4176,,,,
Alba MI,Alba,MI,Michigan,44.9786,-84.9695,,,,
Albany WI,Albany,WI,Wisconsin,42.7069,-89.4367,,,,
Albany WY,Albany,WY,Wyoming,41.1868,-106.1255,,,,
Albany TX,Albany,TX,Texas,32.7273,-99.2957,,,,
Albany LA,Albany,LA,Louisiana,30.5026,-90.5848,,,,
Albany NY,Albany,NY,New York,42.6664,-73.7987,,,,
Albany CA,Albany,CA,California,37.8898,-122.3018,,,,
Albany VT,Albany,VT,Vermont,44.7302,-72.381,,,,
Albany IL,Albany,IL,Illinois,41.7861,-90.2166,,,,
Albany GA,Albany,GA,Georgia,31.5776,-84.1762,,,,
Albany IN,Albany,IN,Indiana,40.3061,-85.2324,,,,
Albany OK,Albany,OK,Oklahoma,33.8769,-96.16,,,,
Albany OH,Albany,OH,Ohio,39.2245,-82.1977,,,,
Albany MO,Albany,MO,Missouri,40.2479,-94.3335,,,,
Albany MN,Albany,MN,Minnesota,45.6283,-94.5676,,,,
Albany KY,Albany,KY,Kentucky,36.6906,-85.1353,,,,
Albany OR,Albany,OR,Oregon,44.6274,-123.0966,,,,
Albee SD,Albee,SD,South Dakota,45.0513,-96.5535,,,,
Albemarle NC,Albemarle,NC,North Carolina,35.36,-80.1921,,,,
Alberene VA,Alberene,VA,Virginia,37.8865,-78.6164,,,,
Albers IL,Albers,IL,Illinois,38.5452,-89.6143,,,,
Albert TX,Albert,TX,Texas,30.1938,-98.6017,,,,
Albert OK,Albert,OK,Oklahoma,35.2328,-98.4114,,,,
Albert KS,Albert,KS,Kansas,38.454,-99.0111,,,,
Albert City IA,Albert City,IA,Iowa,42.7816,-94.9491,,,,
Albert Lea MN,Albert Lea,MN,Minnesota,43.6548,-93.3643,,,,
Alberta VA,Alberta,VA,Virginia,36.8553,-77.8937,,,,
Alberta AL,Alberta,AL,Alabama,32.2321,-87.41,,,,
Alberta MN,Alberta,MN,Minnesota,45.5751,-96.0507,,,,
Alberton MT,Alberton,MT,Montana,47.0037,-114.4817,,,,
Albertson NY,Albertson,NY,New York,40.7715,-73.6482,,,,
Albertville WI,Albertville,WI,Wisconsin,44.96,-91.6004,,,,
Albertville AL,Albertville,AL,Alabama,34.2631,-86.2106,,,,
Albertville MN,Albertville,MN,Minnesota,45.2365,-93.6617,,,,
Albia IA,Albia,IA,Iowa,41.0272,-92.8039,,,,
Albin WY,Albin,WY,Wyoming,41.417,-104.1016,,,,
Albin MS,Albin,MS,Mississippi,33.9134,-90.3298,,,,
Albion WA,Albion,WA,Washington,46.792,-117.2506,,,,
Albion NJ,Albion,NJ,New Jersey,39.7787,-74.9549,,,,
Albion TX,Albion,TX,Texas,33.859,-95.0308,,,,
Albion NE,Albion,NE,Nebraska,41.6877,-97.9984,,,,
Albion NY,Albion,NY,New York,43.246,-78.1902,,,,
Albion PA,Albion,PA,Pennsylvania,41.8904,-80.3641,,,,
Albion CA,Albion,CA,California,39.2256,-123.7564,,,,
Albion IL,Albion,IL,Illinois,38.3767,-88.0581,,,,
Albion IN,Albion,IN,Indiana,41.3966,-85.4187,,,,
Albion IA,Albion,IA,Iowa,42.1125,-92.9887,,,,
Albion OK,Albion,OK,Oklahoma,34.6623,-95.0992,,,,
Albion ID,Albion,ID,Idaho,42.4095,-113.58,,,,
Albion MI,Albion,MI,Michigan,42.2478,-84.7572,,,,
Alborn MN,Alborn,MN,Minnesota,46.973,-92.576,,,,
Albright WV,Albright,WV,West Virginia,39.4937,-79.6399,,,,
Albrightsville PA,Albrightsville,PA,Pennsylvania,41.0117,-75.6068,,,,
Albuquerque NM,Albuquerque,NM,New Mexico,35.1055,-106.6476,,,,
Alburg VT,Alburg,VT,Vermont,44.975,-73.3001,,,,
Alburnett IA,Alburnett,IA,Iowa,42.1494,-91.621,,,,
Alburtis PA,Alburtis,PA,Pennsylvania,40.509,-75.6001,,,,
Alcalde NM,Alcalde,NM,New Mexico,36.0854,-106.0575,,,,
Alcester SD,Alcester,SD,South Dakota,43.0231,-96.6281,,,,
Alco AR,Alco,AR,Arkansas,35.8876,-92.3671,,,,
Alcoa TN,Alcoa,TN,Tennessee,35.8071,-83.9748,,,,
Alcoa Center PA,Alcoa Center,PA,Pennsylvania,40.5384,-79.645,,,,
Alcolu SC,Alcolu,SC,South Carolina,33.7547,-80.2221,,,,
Alcoma FL,Alcoma,FL,Florida,27.895,-81.4823,,,,
Alcova WY,Alcova,WY,Wyoming,42.5543,-106.7263,,,,
Alda NE,Alda,NE,Nebraska,40.8669,-98.469,,,,
Aldan PA,Aldan,PA,Pennsylvania,39.9224,-75.2882,,,,
Alden NY,Alden,NY,New York,42.8988,-78.4946,,,,
Alden IA,Alden,IA,Iowa,42.5106,-93.3806,,,,
Alden MN,Alden,MN,Minnesota,43.6688,-93.5734,,,,
Alden MI,Alden,MI,Michigan,44.8792,-85.273,,,,
Alden KS,Alden,KS,Kansas,38.2441,-98.3119,,,,
Alden Bridge LA,Alden Bridge,LA,Louisiana,32.7751,-93.7202,,,,
Alder WA,Alder,WA,Washington,46.7872,-122.2666,,,,
Alder MT,Alder,MT,Montana,45.3217,-112.1093,,,,
Alder Creek NY,Alder Creek,NY,New York,43.4234,-75.2279,,,,
Alderley WI,Alderley,WI,Wisconsin,43.2175,-88.4498,,,,
Alderpoint CA,Alderpoint,CA,California,40.1614,-123.6157,,,,
Alderson WV,Alderson,WV,West Virginia,37.7277,-80.6436,,,,
Alderson OK,Alderson,OK,Oklahoma,34.9008,-95.69,,,,
Alderton WA,Alderton,WA,Washington,47.1718,-122.2192,,,,
Alderwood Manor WA,Alderwood Manor,WA,Washington,47.8145,-122.2676,,,,
Aldine TX,Aldine,TX,Texas,29.9123,-95.3785,,,,
Aldora GA,Aldora,GA,Georgia,33.0509,-84.1759,,,,
Aldrich MO,Aldrich,MO,Missouri,37.5489,-93.5512,,,,
Aldrich MN,Aldrich,MN,Minnesota,46.3745,-94.9394,,,,
Aledo TX,Aledo,TX,Texas,32.6973,-97.607,,,,
Aledo IL,Aledo,IL,Illinois,41.1983,-90.7445,,,,
Alex OK,Alex,OK,Oklahoma,34.9227,-97.7763,,,,
Alexander WV,Alexander,WV,West Virginia,38.7829,-80.2226,,,,
Alexander TX,Alexander,TX,Texas,32.059,-98.2062,,,,
Alexander ND,Alexander,ND,North Dakota,47.839,-103.6413,,,,
Alexander NY,Alexander,NY,New York,42.902,-78.259,,,,
Alexander AR,Alexander,AR,Arkansas,34.6182,-92.4513,,,,
Alexander GA,Alexander,GA,Georgia,33.0221,-81.8768,,,,
Alexander IA,Alexander,IA,Iowa,42.8044,-93.4786,,,,
Alexander KS,Alexander,KS,Kansas,38.4693,-99.5531,,,,
Alexander City AL,Alexander City,AL,Alabama,32.924,-85.9353,,,,
Alexander Mills NC,Alexander Mills,NC,North Carolina,35.3107,-81.8587,,,,
Alexandria VA,Alexandria,VA,Virginia,38.8184,-77.0861,,,,
Alexandria LA,Alexandria,LA,Louisiana,31.2923,-92.47,,,,
Alexandria NE,Alexandria,NE,Nebraska,40.2475,-97.3877,,,,
Alexandria TN,Alexandria,TN,Tennessee,36.0791,-86.0381,,,,
Alexandria PA,Alexandria,PA,Pennsylvania,40.5582,-78.0995,,,,
Alexandria AL,Alexandria,AL,Alabama,33.7675,-85.8792,,,,
Alexandria IN,Alexandria,IN,Indiana,40.2583,-85.676,,,,
Alexandria OH,Alexandria,OH,Ohio,40.09,-82.6119,,,,
Alexandria MO,Alexandria,MO,Missouri,40.3598,-91.4595,,,,
Alexandria MN,Alexandria,MN,Minnesota,45.8748,-95.3784,,,,
Alexandria KY,Alexandria,KY,Kentucky,38.9622,-84.3861,,,,
Alexandria SD,Alexandria,SD,South Dakota,43.654,-97.7799,,,,
Alexandria Bay NY,Alexandria Bay,NY,New York,44.34,-75.9161,,,,
Alexis IL,Alexis,IL,Illinois,41.0629,-90.5555,,,,
Alfalfa OK,Alfalfa,OK,Oklahoma,35.2189,-98.6073,,,,
Alfalfa OR,Alfalfa,OR,Oregon,44.0773,-121.017,,,,
Alfarata PA,Alfarata,PA,Pennsylvania,40.6619,-77.4559,,,,
Alford FL,Alford,FL,Florida,30.6961,-85.3946,,,,
Alfordsville IN,Alfordsville,IN,Indiana,38.5607,-86.9482,,,,
Alfred TX,Alfred,TX,Texas,27.8742,-97.9799,,,,
Alfred ND,Alfred,ND,North Dakota,46.603,-98.9993,,,,
Alfred NY,Alfred,NY,New York,42.2543,-77.7897,,,,
Alfred ME,Alfred,ME,Maine,43.4767,-70.72,,,,
Alger WA,Alger,WA,Washington,48.6176,-122.3369,,,,
Alger OH,Alger,OH,Ohio,40.7095,-83.8439,,,,
Algerita TX,Algerita,TX,Texas,31.2279,-98.8531,,,,
Algoa TX,Algoa,TX,Texas,29.4025,-95.1694,,,,
Algodones NM,Algodones,NM,New Mexico,35.3801,-106.473,,,,
Algoma WI,Algoma,WI,Wisconsin,44.6057,-87.4465,,,,
Algoma ID,Algoma,ID,Idaho,48.1969,-116.5721,,,,
Algoma MS,Algoma,MS,Mississippi,34.1788,-89.0336,,,,
Algona WA,Algona,WA,Washington,47.2819,-122.2504,,,,
Algona IA,Algona,IA,Iowa,43.0743,-94.2302,,,,
Algonac MI,Algonac,MI,Michigan,42.6216,-82.5349,,,,
