state_long,state_short,city_state,mj_legal,lat,long,sighting_date,short_description,,
Alabama,AL,Albertville AL,No,34.2631,-86.2106,5/12/2018,{td} Bright as hell giving off a crazy ton of colors and was just weird,,
Illinois,IL,Albion IL,Yes,38.3767,-88.0581,12/13/2018,{cak} dark rectangular object moving about 50 miles per hour about 200-300 feet above the ground and completely silent as if coasting.,,
New Mexico,NM,Albuquerque NM,Yes,35.1055,-106.6476,1/1/2018,"{td}Loose group of 10 objects slowly ascending, left convoluted trails in photo.",,
New Mexico,NM,Albuquerque NM,Yes,35.1055,-106.6476,2/5/2018,{td} Orbs around my house for months now,,
New Mexico,NM,Albuquerque NM,Yes,35.1055,-106.6476,2/27/2018,"{td}In two nights in a row, while driving west in Albuquerque, saw a hovering white light in the SW of town, (more west),. It stayed in that stationary position for a long time, maybe 20-40 mins and then it started moving but not like known flight behavior.",,
New Mexico,NM,Albuquerque NM,Yes,35.1055,-106.6476,3/7/2018,{jpg} I yelled to them f**k you grays and through the finger up to them.,,
New Mexico,NM,Albuquerque NM,Yes,35.1055,-106.6476,7/18/2018,{cak} Seen various objects coming in and out of cloud,,
New Mexico,NM,Albuquerque NM,Yes,35.1055,-106.6476,7/21/2018,{cak} Me and four friends saw these Ufos One at a time,,
New Mexico,NM,Albuquerque NM,Yes,35.1055,-106.6476,7/21/2018,{cak} UFOs 2 white glowing and 2 amber glowing,,
New Mexico,NM,Albuquerque NM,Yes,35.1055,-106.6476,9/23/2018,{rjl} driving east on rt 40 approaching Albuquerque nm observed what we thought was a star.,,
New Mexico,NM,Albuquerque NM,Yes,35.1055,-106.6476,10/5/2018,"{jpg} First saw shooting star, then multiple lightning like explosions, then a beam of white light which traveled fast and wild over the mountain.",,
New Mexico,NM,Albuquerque NM,Yes,35.1055,-106.6476,10/12/2018,{tjd} HOVERING UNIDENTIFIED CRAFT WITH BRIGHT ORB LIGHTS THAT FLEW IN AND OUT OF FORMATION,,
New Mexico,NM,Albuquerque NM,Yes,35.1055,-106.6476,10/13/2018,"{rjl} Orbs in triangle formation, orbs disappear then reappear turning into fireworks then disappearing behind a tree with orbs still visible.",,
New Mexico,NM,Albuquerque NM,Yes,35.1055,-106.6476,12/4/2018,"{jpg} Driving home when I noticed two glowing lights, they separated then vanished upon observation from home.",,
Texas,TX,Aledo TX,No,32.6973,-97.607,3/22/2018,{rjl} Bright Lights Hover Over Pasture,,
Texas,TX,Aledo TX,No,32.6973,-97.607,7/5/2018,{cak} Trail Camera Catches Anomalous Lights,,
Arkansas,AR,Alexander AR,Yes,34.6182,-92.4513,11/27/2018,{tjd} I went out to smoke at five in the morning and saw a big bright star and began taking photographs it turned out to be something else,,
Indiana,IN,Alexandria IN,No,40.2583,-85.676,7/13/2018,{td} Saw lights traveling at high rate of speed across a field. As lights reached road it turned and saw orbs in a row.,,
Louisiana,LA,Alexandria LA,No,31.2923,-92.47,1/19/2018,{rjl} Driving north on. I-49 2 blueish greenish lights began to cut circle quickly over head. We witnessed the lights for 35 miles. We ruled out the possibility of sky lights because no beam wasn't projected. The lights were behind the clouds.,,
Virginia,VA,Alexandria VA,No,38.8184,-77.0861,2/12/2018,{cak} I live about 5 miles or less from the Pentagon off of Route 395 in a condo on the 15th fl. Brownish object looked like an aquatic mammal with wings and it rotated from front to side. In pics I saw glowing objects.,,
Wisconsin,WI,Algoma WI,No,44.6057,-87.4465,3/31/2018,"{td} Saw a UFO go in and out of the water, than path hovering over the water/on the water, UFO manipulated all my electronic devices",,
Wisconsin,WI,Algoma WI,No,44.6057,-87.4465,11/29/2018,"{jpg} What seemed to be fireworks, turned out to be a questionable object in the sky.",,
California,CA,Alhambra CA,Yes,34.084,-118.1355,11/7/2018,{cak} wasn't sure if this is cloud or something else,,
Texas,TX,Alice TX,No,27.7556,-98.0653,6/30/2018,{dr}Flying in straight path before stopping then continuing In different direction.,,
Michigan,MI,Allen Park MI,Yes,42.2597,-83.2107,6/1/2018,{td} Seen hovering over Meijer for 2 mins and flew south disappearing and reappeared seen by 2 people,,
Michigan,MI,Allen Park MI,Yes,42.2597,-83.2107,6/24/2018,{jpg} Son asked me to look at a green hovering light in sky. Observed. Questioned if Star/Planet. Started recording. Hey,,
Texas,TX,Allen TX,No,33.1087,-96.6735,4/3/2018,{jpg} has occurred most clear nights for a month. basically same time frame 10 am till 1 am.,,
Texas,TX,Allen TX,No,33.1087,-96.6735,11/25/2018,{tjd} Was walking the dog near the park and saw this humanoid creature by the creek. Makes a screech sound.,,
Pennsylvania,PA,Allentown PA,Yes,40.5962,-75.4756,7/13/2018,{td} Craft hovering high over amusement park,,
