,Date Submitted,Date of Sighting,City,ST,Short Description
48,1/16/2018,1/3/2018,Saint Charles, IL,{rjl} I saw a cigar object fly over our building. It had a light at both ends.
49,1/4/2018,1/3/2018,Brooklyn Park, MN,"{dr}Watched security camera footage, seen bright beam headed down to the ground."
50,1/3/2018,1/3/2018,Shoreview, MN,"At 1:38Am on 1/3/18 I observed a cluster of 3 white lights with at least one red light in the eastern sky from my home in Shoreview , MN. Together the lights hovered, wobbled, darted , ascended and descended and gradually moved to the SE. Two beams of light."
51,1/11/2018,1/3/2018,Henderson, NV,"{cak} very , large oval craft w lights outlining, very , high speed +tr3b"
52,1/6/2018,1/3/2018,Mechanicville, NY,I saw a light from outside my window. Light was hovering over the street and projected a beam of light down to the street.
53,1/26/2018,1/3/2018,CINCINNATI, OH,{jpg} Black triangle with three yellow lights leaving contrail. Two additional triangle light patterns shown in photo.
54,1/5/2018,1/3/2018,Toledo, OH,"{dr} saw entity walking, turned toward me, squawked loudly, flapped wings, (could hear and feel wing movement took off toward north, joined by second one already in air. didn't see second one until first took off"
55,1/3/2018,1/3/2018,Portland, OR,"{dr}Swooped down out of SE then back up into SW then disappeared, high rate of speed"
56,1/4/2018,1/3/2018,Sandy, OR,{dr}Comet like streak across cloudy nighttime sky
57,8/15/2018,1/3/2018,Laredo, TX,{cak} 2 UFOS and a large tr 3b above my street
58,1/4/2018,1/4/2018,Santa Ana, CA,{dr}Star like Object Moving Across The Sky
59,1/5/2018,1/4/2018,Casselberry, FL,"{dr}Flashing red and white lights, hovering at first in the south before departing to the east and a pulsating sound heard only upon departure"
60,1/4/2018,1/4/2018,Ocean Springs, MS,"{dr}Looked like a star, hovered, moved and vanished."
61,1/22/2018,1/4/2018,Red oak, TX,{jpg} Bright multicolored light. Stationary. I thought it was a rainbow. However there was no ark . No rain. Only clouds. Not moving
62,4/18/2018,1/5/2018,Decatur, AR,"{cak} made several observations, the one here was moving in the back of my yard I said wait don't go and it stopped and transformed in front of me. Silent no sound and then filled tree line to sewer plant where it turned red and faded to dark in trees."
63,1/6/2018,1/5/2018,Fresno, CA,"{dr}I observed an oval shaped lighted object that appeared large. It appeared in an instant and flew in a straight line for about 3 or 4 seconds then blinked out like a snap. Very fast, faster than any plane or jet can travel. It wasn't a falling star."
64,1/6/2018,1/5/2018,Geyserville, CA,"{dr}With Night Vision Monocular MANY Triangles could be observed, Very weird Cloud density/movements/color"
65,1/13/2018,1/5/2018,Oakville , CT,{cak} there was a plane flying in the distance. then a red object appeared with flashing lights it stood perfectly still then quickly moved in a straight line left then to the right.it went straight up and kept repeating. had white flashing lights too
66,1/8/2018,1/5/2018,Marathon, FL,{cak} I witnessed from a fourth floor balcony the described object which traveled at extremely high speed from N to S then veered off S approx. 500-1000 ft above horizon I
67,1/8/2018,1/5/2018,West palm beach , FL,"{cak} at cemetery drove up, parked. Had a filling that there was something over me like all the other times. And there it was, around object moving really slow. Look like a box dome when I blow it up on my phone. Got more pictures as well. "
68,1/18/2018,1/5/2018,Montgomery, IN,"{rjl} I see UFOs frequently. Appeared most that I see, in eastern sky above tree line. Brightest object in the sky, a yellow-orange color. Pulsating/stretching-type light. Flight path southeast, hover while I watched it, then flight path when I went inside"
69,1/7/2018,1/5/2018,Linden, MI,{cak} Saw huge object outside bedroom window with red-orange lights
70,1/5/2018,1/5/2018,Webb City, MO,{dr}was in hot tub looking up at sky and watched silent triangle craft with dim lights
71,1/5/2018,1/5/2018,Tulsa, OK,{dr}Hovered where no lights have been int he past. Then shot off to NE
72,1/7/2018,1/5/2018,Connellsville, PA,{cak} found something on stilts on google moon
73,4/26/2018,1/5/2018,Newell, SD,I was driving my girl friend home and it flew past me... I shat my pants
74,1/12/2018,1/5/2018,Northridge, CA,{cak} Metallic sphere shape
75,1/9/2018,1/6/2018,Hollywood, CA,{cak} it happened during a commercial of the falcons vs rams overlooking Hollywood
76,2/7/2018,1/6/2018,Stockton, CA,{jpg} Bright but fuzzy star like object in the South West clear sky
77,1/30/2018,1/6/2018,Momence, IL,{dr}My sister happened to see light across the street saw it being strange and started taking pictures.
78,1/25/2018,1/6/2018,Momence, IL,{jpg} My sister stood up to get something and looked towards living room and saw lights and started taking pictures.
79,1/25/2018,1/6/2018,Momence, IL,"{jpg} My sister is up with me in the morning, she happened to look out window saw light, and took pictures . She's never told me right away, it scares her, she'ss handicapped and she'ss showed me her pictures more recently, So I am sending these photos."
80,1/11/2018,1/6/2018,Swartz Creek, MI,{cak} Silver disk flies by me at eye level while sitting at intersection
81,1/8/2018,1/6/2018,Indian Trail, NC,{cak} 5 Spheres about the size of medium plane less than 2000 ft alt. Silently cruises from horizon to overhead and appeared to climb as they past us.
82,8/18/2018,1/6/2018,Forked River , NJ,{cak} Took photos that I did not review until July of this year. Saw the objects during that review.
83,1/14/2018,1/6/2018,Fairlawn, OH,"{rjl} Standing in my driveway, I observed 9 white lights in the sky overhead. They made no sound and travelled in a N.W. direction."
84,1/11/2018,1/6/2018,Springfield, OR,{cak} object while traveling south appeared to stop then hop to the right. This occurred several times.
85,1/7/2018,1/6/2018,Greenville, SC,"{cak} Star? ( like ) that stayed in about the same spot in the night sky but went up and down, side to side, it was very far away so these movements seemed very slight but noticeable"
86,1/6/2018,1/6/2018,North Myrtle Beach, SC,"{dr}saw bright object that moved in different directions, 2-3 hours, got larger looked triangular, husband saw it too,"
87,1/7/2018,1/6/2018,Logan, UT,"{cak} Red orange fiery light slowly heading northwest, then stopped hovered, went straight up and disappeared"
88,1/30/2018,1/6/2018,Mechanicsville, VA,"{td}4 different sightings east and west, different objects, video & 1 photo"
89,1/8/2018,1/6/2018,port Townsend, WA,{cak} orb orange red white going slow stopped and hovering but not in place wobbling back and forth climbing to east
90,1/7/2018,1/6/2018,Cameron, WI,{cak} Taking pictures of chemtrails and after I took them the UFO was seem when zoomed in
91,1/7/2018,1/6/2018,Capon Springs, WV,{cak} Two disk shaped objects hovering then shooting into the sky
92,1/24/2018,1/7/2018,Brandon, FL,{jpg} Diamond shaped object with green lights outlining the craft and a bright org red beam that grew
93,1/23/2018,1/7/2018,Deltona, FL,"{jpg} This changed my life. I was the only witness, I cannot cope with what I have seen now."
94,1/27/2018,1/7/2018,Gulf Breeze, FL,{jpg} I was sure I was looking at Jupiter and Venus when orbs shot off and disappeared
95,1/7/2018,1/7/2018,Orlando, FL,{cak} 8 orange glowing spheres approaching NW to SW over the course of 5-7 mins passed over my neighborhood where I observed 4 of the 8 turn off their orange glow and could see them silently fly in line toward the SW (I-Drive area)
96,1/8/2018,1/7/2018,Saint Lucie, FL,{cak} 3 multi colored objects
97,3/23/2018,1/7/2018,Zephyrhills, FL,"{rjl} Saw completely lit up solid light round disc just appear stationary, behind light cloud cover but was easy to see as it was very bright. No sound at all. Then traveled slowly a short distance out of the cloud cover maybe about 1000 ft or so."
98,1/7/2018,1/7/2018,Anchorage , KY,"{cak} I looked up in the sky because I saw a very large bright white light. I watched it for a few seconds because I was trying to figure out which star it was or verify it was an airplane. Then, it blinked once, and went back into space."
99,1/12/2018,1/7/2018,Alamo, NV,{cak} was driving around perimeter of area 51. didn't see until looked at photo. have multiple photos of moving orbs as well.
100,1/15/2018,1/7/2018,Las Vegas, NV,{rjl} Multiple shiny objects mostly spheres and some pill looking ones
101,1/8/2018,1/7/2018,Harrisburg, PA,"{cak} Four orbs shrouded by mist, hovering and moving slowly over i-83"
102,1/8/2018,1/7/2018,Memphis, TN,"{cak} Very large, dark UFO spotted, hidden behind clouds initially. The light from a tall building exposed it briefly as it moved Northeast."
103,1/7/2018,1/7/2018,Carson, VA,"{cak} A light in the sky that looked like an airplane, but it wiggled around going in a lot of strange directions an airplane can't go."
104,1/9/2018,1/8/2018,Garden City, KS,{cak} Large glowing rod about size of aspirin turned on side. Hovering between two cloud banks.
105,1/10/2018,1/8/2018,Santa Fe, NM,"{cak} I was taking pictures after dusk. When I put my pictures on my computer, I saw a round, transparent object amid and behind the clouds."
106,1/10/2018,1/8/2018,San Antonio, TX,{cak} Thought it was a very low helicopter at first then when it got closer I could see how large it was and the shape was like a large triangle. It was going to slow it would have fallen from sky if it were a plane. There 7-8 all over the neighborhood.
107,1/8/2018,1/8/2018,Genoa City, WI,"{cak} Stationary flashing lights, military aircraft zig zagging loudly near object, second identical object to South"
108,1/9/2018,1/8/2018,orfordville, WI,{cak} heading towards Brodhead seen helicopter normal thing then I notice another coming from my right as I get past the tree line there it was to my left about 300 - 400 ft up and 600 to 1000 ft away
109,1/9/2018,1/8/2018,Wardensville, WV,{cak} Bright glowing craft made 90 degree turn - then shot up toward NW of town
110,1/14/2018,1/9/2018,Alpine, AL,"{rjl} A very bright white blinking light with sometimes a red, blue, yellow color blinking. It was hovering and moved slightly."
111,1/12/2018,1/9/2018,Independence, MO,{cak} Found two UFOs in photo after reviewing pictures of the sky at dusk
112,1/9/2018,1/9/2018,Springfield, OH,{cak} boomerang looking thing 3 headlight looking lights smaller red lights in back moved but never changed direction
113,1/9/2018,1/9/2018,Wrightsville, PA,"{cak} Four triangular black unidentified flying craft, plus a helicopter with searchlight at lower altitude."
114,1/11/2018,1/9/2018,North Charleston , SC,{cak} It was blinking and changing direction
115,1/11/2018,1/9/2018,Ellensburg, WA,{cak} Aircraft carrier sized object with white and red lights fore at altitude of 500 to 1000 feet moved slowly form se to new
116,10/17/2018,1/9/2018,Columbia, SC,{rjl} All  I can say is I got it on video several times so if you want to come see the video I would be happy to show it to you it will amaze you as it did me
117,1/18/2019,1/10/2018,Sebastopol, CA,"{rjl} I witnessed several times usually 2 colorful objects at times 3 that swaying like in between magnets, once a 3rd appeared overhead but flamelike white top like, seen red sphere drop from colored"
118,1/10/2018,1/10/2018,Walnut, CA,{cak} Red lights in sky just hovering. No blinking. No movement. Steady & red.
119,1/11/2018,1/10/2018,Estero, FL,{cak} Blue light overhead in Ft. Myers
120,1/11/2018,1/10/2018,Ashland, KY,{cak} Witnessed a rotating dis with lighted windows
121,1/29/2018,1/10/2018,Smiths Creek, MI,{dr}I was taking a picture of the clouds because they seemed to be forming oddly. I didn't see any lights when I was taking the picture. It was only a couple days ago when I was looking at my photos that I noticed these lights in the sky in my photo.
122,1/10/2018,1/10/2018,Smithtown, NY,{cak} Walk outside & spotted a Red/Orange light moving south to north direction
123,1/11/2018,1/10/2018,Vermillion, SD,{cak} It was green but it was there for minutes before it left.
124,1/10/2018,1/10/2018,Harker Heights, TX,{cak} Reflective silver orb
125,1/12/2018,1/11/2018,Casa Grande, AZ,"{cak} witnessed 4 orbs for second time in two weeks near Asarco Mine in Casa Grande, AZ"
126,1/12/2018,1/11/2018,Burbank, CA,{cak} Large plane at high altitude vanished from clear blue daytime sky along with contrail.
127,5/13/2018,1/11/2018,Grass Valley, CA,{cak} Attached video as viewed on my infrared security camera for 7 plus minutes.
128,1/11/2018,1/11/2018,Bayfield, CO,"{cak} Bright, patterns severely weeks, real bright"
129,1/12/2018,1/11/2018,Satellite Beach, FL,"{cak} Wild and erratic, a hovering & glowing object with blinking lights danced around the sky"
130,1/14/2018,1/11/2018,West Melbourne, FL,{rjl} Three lights in triangle formation flew over the road and continued until disappeared behind tree line.
131,1/12/2018,1/11/2018,St. Peter, MN,{cak} Saw large object flying above trees in the country side with flashing lights and abnormal flight pattern
132,1/12/2018,1/11/2018,Santa Fe, NM,"{cak} Strange Jack Frost configuration on windshield of car January 11, 2018"
133,1/18/2018,1/11/2018,Las Vegas, NV,{rjl} Inflight from Seattle to Las Vegas. Saw object
134,1/11/2018,1/11/2018,Las Vegas, NV,{cak} Glowing or bright with some edges
135,1/11/2018,1/11/2018,Portchester, NY,{cak} Looked like a bunch of stars traveling together in a pattern
136,1/12/2018,1/11/2018,Okanogan, WA,{cak} Saw four bright lights got binoculars and saw 4 bright steady lights left to get camera and objects were gone.
137,1/12/2018,1/11/2018,SeaTac, WA,{cak} Very slow moving. No blinking lights. Was in view for short time then slowly disappeared. Reappeared on lower horizon
138,1/16/2018,1/12/2018,Colorado Springs, CO,{rjl} Was driving when I seen object over air force base so pulled over and pulled out my phone and started recording
139,1/12/2018,1/12/2018,Jacksonville, FL,{cak} Not sure if UFO involved. But a very loud jet like sound booming in the sky
140,1/12/2019,1/12/2018,Marsing, ID,"{cak} I was looking out my picture window before sunrise. Looking East toward Lizard Bute, I saw a comet shaped light which seemed to be suspended then I saw it was moving very slowly downward toward the horizon. I used my binoculars and spotting scope"
141,1/13/2018,1/12/2018,Austin, TX,{cak} Observed what looked like a nonmoving shooting star. May have emitted small contrail. May have been moving very slowly.
142,1/14/2018,1/13/2018,Yuma, AZ,"{rjl} Large orange glow in NE sky, object flew over house appeared to be on fire, watched object disappear in south sky, grew smaller as it moved away.."
143,1/13/2018,1/13/2018,Los Angeles, CA,[cak] Saw 3 bright lights in sky 13:00 hrs. E by NE between 70 & 80 deg. then more lights 10+
144,1/14/2018,1/13/2018,Mountain View, CA,{rjl} Looked like star but moved slowly upward. Stopped. Moved again. Stopped. Disappeared.
145,1/16/2018,1/13/2018,Yorba Linda, CA,{rjl} Periodic flashing or
146,1/18/2018,1/13/2018,Cedarville , IL,"{rjl} 3 reflective cigar-shaped objects, sudden vertical descent"
