,Date Submitted,Date of Sighting,City,ST,Short Description
887,4/3/2018,4/2/2018,Dacula, GA,{jpg} Huge orb around the sun with smaller green orb inside flying Erratically . I wasn't the only one taking pictures
888,5/4/2018,4/2/2018,Port Wentworth, GA,{jpg} Five Ufos on live tv
889,4/2/2018,4/2/2018,Zeeland, MI,"{jpg}Saw 2 star like objects. The larger one was a star the smaller on was way up there. Moved so very slow. Wobbled around like an egg, then stopped then jog to left or right. Basic direction. From South to North then mostly West, North West. Gigger sea"
890,4/2/2018,4/2/2018,St. Paul, MN,{jpg} I abruptly saw a very unusual object cross my field of vision. It was rectangular or even sphere. It made zero sound and was quick. While it was snowing.
891,4/10/2018,4/2/2018,Fountain Inn, SC,"{td} Took some photos of the Sun Halo at 2:58 and again 2 more at 4:28 and 4:19 ,noticed later that night something very strange in the photos."
892,4/4/2018,4/3/2018,Wickenburg, AZ,{jpg} Black triangular craft with three copper/yellow lights at the vertices of the triangle. Military pursuit.
893,4/4/2018,4/3/2018,Buena Park, CA,{jpg} Shinny silver disc shape moving NE over one mile up.
894,4/3/2018,4/3/2018,Fresno, CA,"{jpg} UFC not seen, only trail"
895,4/5/2018,4/3/2018,Lockport, IL,"{jpg} Noticed out the window, assumed they were planes crossing paths at first. Notice she they weren't flying, but hovering. The top object ascended higher. They both went behind the clouds, then remained in then same spot hovering."
896,4/3/2018,4/3/2018,Columbus, NC,{jpg} lights in the sky
897,4/7/2018,4/3/2018,Ronkonkoma, NY,{jpg} 2 nights in a row bright white streak (similar to comet) sped across sky & quickly vanished/disappeared
898,9/27/2018,4/3/2018,Central Pt, OR,"{dr}I was looking at stars one night and I saw a very small star, it started moving then stopped like it knew I was looking. It beamed a large light at me."
899,4/4/2018,4/3/2018,Allen, TX,{jpg} has occurred most clear nights for a month. basically same time frame 10 am till 1 am.
900,4/5/2018,4/3/2018,Bellingham, WA,{jpg} 3 Orange orbs traveling north then south west
901,4/5/2018,4/4/2018,Fort Payne, AL,"{jpg} directly and silently flew straight line over my vehicle, black rectangular, red glowing lights on short sides of rectangle, blinking red light following."
902,4/5/2018,4/4/2018,Lake Havasu City, AZ,{jpg} Fighter jet high above Lake Havasu City possibly accompanied by something else.
903,4/11/2018,4/4/2018,Geneva, FL,{td} Multiple contact by human initiated contacts
904,4/5/2018,4/4/2018,Portland, OR,{jpg} Two of them dull black light silver with pointy three legs each side ?
905,4/4/2018,4/4/2018,Odessa, TX,{jpg} Suspicious aircraft hovering in Odessa TX
906,4/6/2018,4/4/2018,Cle Elum, WA,{jpg} Strange 10 diameter mechanical spider like object above me in my home
907,4/6/2018,4/5/2018,Deridder, LA,"{jpg} Heard dogs my growling and cows in field across street mooing loud. Looked out picture window in living room. observed hug light object approaching, then pulsing 15 minutes, then abruptly disappeared"
908,4/6/2018,4/5/2018,Ellsworth, ME,{jpg} 3 or 4 yellow lights right next to my house
909,4/5/2018,4/5/2018,Orono, ME,{jpg} star like no sound
910,4/6/2018,4/5/2018,Detroit, MI,{jpg} This object is classified as unidentified because of the Rarity of three military Choppers in this area
911,1/14/2019,4/5/2018,Bretton Woods, NH,{rjl} 4 pink/orangish orbs hovering and moving upwards in a diamond like shape
912,4/5/2018,4/5/2018,LaGrange, OH,{jpg} Bright white light moving super fast following a train track
913,4/7/2018,4/5/2018,Reliance, TN,"{jpg} Up late with fiancé, stepped outside to smoke, object appeared out of nowhere, as we stood out on our porch looking up, it was tilted to an angle, and hovered, directly above, then took off again very low, barely clearing trees."
914,4/28/2018,4/5/2018,Nacogdoches, TX,{rjl} Bright object activated our ring system
915,4/8/2018,4/6/2018,Albany, NY,"{td} Driving on route 20, saw many white lights in a circle about waste high, with green lights in the center blinking erratically."
916,4/6/2018,4/6/2018,Reading, PA,{jpg} Helicopter chasing Starlite ball/orb.
917,4/6/2018,4/6/2018,Lubbock, TX,{jpg} Light bulb shaped with blue white beam to another craft below
918,5/18/2018,4/6/2018,Uvalde, TX,{cak} Saw six floating balls of light in the sky then turned into red/yellow orbs
919,4/10/2018,4/7/2018,Chandler, AZ,{td} Stationary light in the sky for approx. 10 minutes 15 degrees above the horizon
920,4/8/2018,4/7/2018,Madera, CA,{jpg} Observed something that I am not familiar with.
921,4/7/2018,4/7/2018,Aurora , CO,{jpg}Me n my daughter were walking back home from the store I looked up in the sky n it looked like the sun  was still out. So my daughter had my phone n she took the picture. N when the picture was done there was a straight beam of light from the sky.
922,4/7/2018,4/7/2018,Glastonbury , CT,{jpg} I snapped pictures of sunset and these guys appeared in one of my photos
923,4/8/2018,4/7/2018,Pocatello , ID,{td}6-8 reddish objects with 3 in formation all aligned SW to ne by Idaho national laboratory
924,4/16/2018,4/7/2018,Rockford, IL,{cak} I was thinking I would really like to see a UFO while reading about CSETI. Something in my mind said
925,4/7/2018,4/7/2018,South Haven, MI,"{jpg} Noticed two bright stars close together in the SSW sky. After a minute or two, while I was looking right at them, the one on the right abruptly disappeared to the south."
926,4/7/2018,4/7/2018,Butte, MT,{jpg} 2 bright orbs one was above the big M for 3 hours and the other one shot away above the East ridge faster than a jet and made no sound the one above the big M went bright then dim then bright again
927,4/8/2018,4/7/2018,Farmington , NY,{td} Witnessed ball of light WAY up in the sky change direction @ high rate of speed then sped in straight line
928,4/17/2018,4/7/2018,Cleveland, OH,{cak} looked like black square floating in sky
929,4/8/2018,4/7/2018,Philadelphia, PA,"{td} Appeared in the north, like a slow come to, but flying horizontally to the east. 12 or so total. Formations of 4, 3 and 2."
930,4/10/2018,4/8/2018,Glendale, AZ,"{td} I woke up at @ 5:00 am and noticed that there were moving, pulsating orbs in the night sky..."
931,8/12/2018,4/8/2018,Costa mesa, CA,"{cak} I'm a patrol corporal for private security company, while on payroll at Costa Mesa account around 0330 am I noticed and object right in front of me that looked like a triangle with three lights under it and was not making any sound but was up and a"
932,4/8/2018,4/8/2018,Falcon, CO,"{td} Brown cylinder object appeared to be floating on the wind, but changed speed & elevation. Shot to the left. Hovered. Accelerated away abruptly."
933,4/16/2018,4/8/2018,Garden City, ID,{cak} Two light sources during sunset
934,4/8/2018,4/8/2018,Westport , MA,"{td} silent bright light hovered, faded out and then turned into a red orb"
935,4/8/2018,4/8/2018,Greenpoint, NY,{td}Translucent Shape Shifting Orb
936,4/8/2018,4/8/2018,Philadelphia, PA,{td} I saw one orb so I filmed. When I edited I found two more. email me if video doesn't download!!
937,4/9/2018,4/8/2018,Pottstown, PA,"{td} Glowing orb, second time we saw something like this"
938,4/10/2018,4/8/2018,Berkeley Springs , WV,{td} Taking trash out look up on skyline and see a light slowly moving and disappearing before me
939,4/9/2018,4/9/2018,Sedona, AZ,{td} Fireball from west to east
940,5/11/2018,4/9/2018,Twentynine Palms, CA,{td} lights in the sky forming shapes
941,4/9/2018,4/9/2018,Boise, ID,{td} Fleet of maybe 50 or more glowing objects over Boise on lunch break.
942,4/10/2018,4/9/2018,New Plymouth, ID,{td} First saw the ufo above my house and it was moving slowly moving east toward Boise Idaho. watched it till we couldn't see it anymore. my daughter was with me when we saw it.
943,4/9/2018,4/9/2018,ORLEANS, IN,{td} Observed silver dollar size orb approx. 3 am with a smaller orb jettison from the large orb
944,4/9/2018,4/9/2018,South Portland, ME,"{td} Very slow moving object, that looped in sky. Red/orange/light"
945,4/9/2018,4/9/2018,Benton Harbor, MI,{td} looks like a star until I aimed my scope at it. Cigar shape
946,1/14/2019,4/9/2018,Paris, MI,{rjl} It was just a solid ball of light moving in unpredictable directions and seemed to go around my house then went over the tree line and diapers
947,4/9/2018,4/9/2018,Wayne, OK,{td} Glowing light that hovered in the same spot as last time it disappeared every time a plane went by 2nd sighting
948,4/15/2018,4/9/2018,Algona Pacific, WA,{cak} 3 red orange spheres. Light grew like plasma E. And W. Till it was large cigar shape glowing orange. Disappeared into smaller. Morphing plasma that fell like feather to the ground. Others blinked out.
949,4/9/2018,4/9/2018,Meriden, CT,{td} Several in the atmosphere
950,4/11/2018,4/10/2018,San Diego, CA,{td} Looked to be over ocean. 2 lights appear last for awhile disappear come back again. Smaller dim flashing lights flying around it
951,10/20/2018,4/10/2018,Santa Clarita, CA,{rjl} White object moving in the sky
952,4/11/2018,4/10/2018,Denver, CO,{td} MULTICOLORED LIGHTS ON BOTH ENDS WITH A BLACK OBJECT IN CENTER
953,8/25/2018,4/10/2018,Jacksonville, FL,{rjl} Black teardrop object shapeshifter into long black cloud like trail
954,4/11/2018,4/10/2018,Doraville, GA,"{td} looked out window saw bright white light, blinked and turned red"
955,4/15/2018,4/10/2018,Fernwood, ID,"{cak} Frequent Sightings, Star-Like, Hovering, Sometimes Zig-Zag & Drop Straight Down"
956,4/10/2018,4/10/2018,Bethlehem, PA,{td} I was sitting on my porch and looking out and saw a random light. But I zoomed in and it was a ring. Shortly after a second appeared this one flickering. No later than ten minutes both were gone.
957,4/17/2018,4/10/2018,Mount Pleasant, TN,{cak} Taking picture of sunrise and it quickly appeared.
958,4/22/2018,4/10/2018,Murfreesboro, TN,{rjl} Bright circle of light that followed my car then took off really fast and disappeared.
959,4/11/2018,4/10/2018,New Braunfels , TX,{td} On back deck. Oval shape of multiple white lights. Dots like a porcupine covering the entire oval shape. Very large. Hovering at about 40 degrees then slowly moved west and sank below the tree line. Saw lights clearly through binoculars. No sound.
960,4/12/2018,4/10/2018,Heber City, UT,{td} I was outside and looked up because I seen a darker triangle shape in the sky very low. I then heard birds going
961,6/29/2018,4/10/2018,franklin, WI,{td} Silver/Chrome glowing craft. Was shaped like upside down pasta dish. Hovered then evaporated.
962,4/13/2018,4/11/2018,Stockton, CA,{td} Reptile flying in cloud
963,4/12/2018,4/11/2018,Moncks Corner, SC,{td] Traveling west I saw an object in sky from a distance as I got closer it got bigger. It had white wings with a solid black object in the center flying sideways. Before I could pull off the road it went behind the trees and disappeared.
964,4/11/2018,4/11/2018,Richmond, VA,{td} Was looking up at sky saw huge flash of light then continued to observe object
965,4/15/2018,4/12/2018,Irvine, CA,{cak} sightings over Fullerton California and costa mesa California and Irvine
966,4/13/2018,4/12/2018,Woodbine, GA,{td} Triangle UFO
967,11/8/2018,4/12/2018,Floyds knobs, IN,{jpg} ufo hovering next to radio tower
968,9/9/2018,4/12/2018,Ventnor city, NJ,{cak} In photo of dog in marshes on back bay Ventnor city Image was in background didn't see till later reviewing photo
969,4/12/2018,4/12/2018,Ashburn , VA,"{td} Took a picture of myself with the sun behind me, I noticed the object was in one frame."
970,4/13/2018,4/13/2018,East Hampton, CT,{td} Bright blinking light traveled downward to the right then away. lasted approx. 5 minutes
971,4/15/2018,4/13/2018,Lizella , GA,{cak} Very slow moving dimming star like object that flashed like a camera a few times before disappearing
972,4/21/2018,4/13/2018,Galloway, NJ,{cak} Bright light making strange movements in the sky
973,4/14/2018,4/13/2018,Madison, NJ,"{td} Looked like a satellite, but mid flight stopped and began glowing, zig zagged across the sky and flew"
974,6/8/2018,4/13/2018,Grove city , OH,{jpg} Shinny round - the other condom like I have pictures
975,4/14/2018,4/13/2018,Bensalem, PA,{td} square shape with 4 glowing circles in the middle. Circles were rotating. off in the distance at first then directly over our house then back at a distance
976,5/1/2018,4/13/2018,Nederland, TX,{jpg} I was overcome with an indescribable urge to take picture of a certain cloud. It was swirling and moving in all directions. It looked alive almost.... I just KNEW something was inside or behind it.
977,5/25/2018,4/13/2018,sandy, ut,{rjl} saw a bright light  in the sky then it disappeared and reappeared in a different place twice
978,4/16/2018,4/14/2018,Chino Valley , AZ,{cak} It was white orb ˜But when you take a. Video the. UFO it turned colors .and it was fast
979,5/24/2018,4/14/2018,Tucson, AZ,"{rjl} I SAW A DARK REDDISH CLOAKED IMAGE TRAVELING FAST IN THE NIGHT SKY WHEN IT SUDDENLY STOPPED, IT HOVERED AND SEEMED TO SHUDDER AND SHAKE BEFORE IT TOOK OFF TRAILING AN AIRLINER"
980,4/15/2018,4/14/2018,Anza, CA,"{cak} Object moving quickly across Anza Burro. Object had a random pulse of light, come to a complete stop and quick flash of light. One of the flashes looked like forked lighting going upward. Quickly moved north and shot south and disappeared."
981,4/15/2018,4/14/2018,Hemet, CA,"{cak} About 22:00, 14APR18, Heading approx. NE at a mild rate of speed over Hemet, CA approx. Sanderson and Menlo Black Triangle with 6 Dull Red under-Lights"
982,4/15/2018,4/14/2018,Darien, CT,{cak} Orb hovering and fast zig zags over Long Island Sound with bounce and chirp noise at 3am
983,4/15/2018,4/14/2018,Port Charlotte, FL,{cak} Object randomly pulsated directly above witnesses (2) great height. One bright beam emission. Unknown Altitude
984,1/5/2019,4/14/2018,Calvert city, KY,{dr}It looked like a flying wheel off almost and flew towards a nearby church
985,4/14/2018,4/14/2018,Shokan, NY,"{td} Looks like very bright star going left to right, up, down with small stars emanating."
986,4/14/2018,4/14/2018,Corpus Christi , TX,{td} I thought it was a satellite but then it speeded up got brighter and disappeared
987,5/18/2018,4/14/2018,Dallas, TX,"{cak} Large Grey disk approx., 100 feet in diameter was traveling SW to ne silently without lights."
988,4/15/2018,4/14/2018,Lockhart, TX,{cak} Multiple but this one I remember. I woke up in middle of the night seeing floating object coming towards me at the front door and then went to the side of my house. I went out and saw it get close to our trailer and the beam 2 things all came out one went inside my house while other took me inside ufo
989,4/21/2018,4/14/2018,Richmond, VA,{cak} I took a picture out of my sunroof because it was finally a nice spring-like day. My daughter noticed the photo has a turquoise sphere. We zoomed in on the photo and the sphere looks like it has a grid pattern of lights.
990,4/15/2018,4/15/2018,Catalina, AZ,{cak} observation of an oval white object while driving south on Oracle road
991,4/16/2018,4/15/2018,Lone dell, MO,"{cak} bright white light, short rectangular shape with rounded edges, transparent but low glowing perimeter with windows, looked like a hologram"
992,6/30/2018,4/15/2018,Pittsburgh, PA,{td} Observed object hovering for 2 hours before it took off and disappeared
993,4/15/2018,4/15/2018,Southlake, TX,{cak} Fleet of UFO's near DFW International Airport
994,4/16/2018,4/15/2018,Virginia Beach , VA,{cak} Very Distinguishable large triangle with headlights.
995,5/25/2018,4/16/2018,Bella Vista, AR,{rjl} Bright light observed in western sky. It swung leaf-like. At one point it emitted a corona of small lights leaving a dark center.
996,4/16/2018,4/16/2018,Rogers, AR,{cak} object moved slow and erratic across the sky not a satellite nor plane
997,4/16/2018,4/16/2018,corona del mar, CA,"{cak} 2 balls moving swiftly traveling north, one split accelerated and disappeared"
998,4/17/2018,4/16/2018,Jacksonville, FL,{cak} Several UFOs in sky
999,4/16/2018,4/16/2018,Orlando, FL,"{cak} Near UCF, light blue flash, looked like a UFO a movie would depict something entering"
1000,4/17/2018,4/16/2018,Port Charlotte, FL,{cak} Opaque triangular(boomerang) type craft(possibly two in close formation) crossed over our deck last night. 5 or 6 lights on fast moving object (objects)
1001,4/20/2018,4/16/2018,Bluff City, TN,{cak} Observed star like yellow light in sky It dimmed & reappeared about 20 degrees to the left. Dimmed again & reappeared in same spot on right this time expelling what looked like massive holiday sparklers. Object dimmed/disappeared and reappeared on
1002,4/16/2018,4/16/2018,Woodville , TX,"{cak} Silver cigar shaped hovering for a few minutes . Moved slowly side ways then bolted towards West disappearing with in seconds. Blue skies, no trail"
1003,4/27/2018,4/17/2018,Payson, AZ,{rjl} To weird after my near death experience I feel that my body has being taken over by something cause now I am always surrounded by orbs I feel that my body has being protected
1004,4/18/2018,4/17/2018,Lakeland, FL,{cak} Saw an orange orb hover over the Lakeland power plant for about five minutes.
1005,4/17/2018,4/17/2018,Sarasota, FL,{cak} There were 4 lights shaped in a V that flew through the sky in in same position and one light that moved around to the west of the craft(s). The moving light came close to the others then far away. They all moved quickly.
1006,4/17/2018,4/17/2018,Osceola, IN,{cak} I was outside with my dog when I saw the orbs first then heard noise like a jet .watched it slowly fly south
1007,4/17/2018,4/17/2018,Charlo, NC,{cak} Way too slow for orbital objects or airplanes. Randoms/flashes of light
1008,4/19/2018,4/17/2018,New Brunswick, NJ,{cak} Was like sparkles in the sky. I couldn't see them with the naked eye but when I was filming something else with my phone I seen them
1009,4/18/2018,4/17/2018,Ridgeway, VA,"{cak} Me and my wife observed several of what we thought to be stars move stop change direction stop and shoot straight up out of vision, for several hours."
1010,4/17/2018,4/17/2018,Vancouver , WA,{cak} Big oval shoots to the ground then rapidly changes behind a cloud two different direction
1011,4/19/2018,4/18/2018,Youngtown, AZ,{cak} Luke air force base is to the left of me I noticed a bright light to the right of me like it was looking at the base.
1012,4/19/2018,4/18/2018,Americus , GA,{cak} My wife and I observed upwards of 10 UFOs of various types between 21:30 & 12:00am on 4.18.2018
1013,4/20/2018,4/18/2018,Shiprock, NM,{cak} 6 bright lights hovering over Shiprock Mountain
1014,4/18/2018,4/18/2018,Cleveland, TN,{cak} Red-Orangish shape floating along with a hum the headed rapidly off SE
1015,12/31/2018,4/18/2018,El Paso, TX,{dr}large disc with 2 rows of windows and a dome multi color lights and dull finish similar to a MacBook
1016,5/2/2018,4/19/2018,JADSDEN, AL,"{jpg} WENT OUTSIDE TO HAVE A CIGARETTE THOUGHT I WAS LOOKING AT THE MOON IT WAS BRIGHT AS A STREETLIGHT, BUT IT WASN'T THE MOON"
1017,4/20/2018,4/19/2018,Los Angeles, CA,{cak} From area of Hollywood Hills saw 2 stationary lights that varied in brightness but did not move at all for about 10 min then faded out
1018,4/20/2018,4/19/2018,canton, IL,{cak} It look tall but like a half circle. It was so shinny it looked like it just glowed chrome
1019,4/20/2018,4/19/2018,Coldwater, MI,{cak} Coming home from movies in Kalamazoo Michigan have been watching a crazy star like object ejecting orbs of red and white
1020,4/20/2018,4/19/2018,Lansing, MI,{cak} observed 26 groups of lights numbering over one hundred individual total in a 11/2 hr. time period. Formations varied as did the flight pattern as they passed overhead all traveling east to west at a very high rate of speed in central lower Michigan.
1021,4/19/2018,4/19/2018,Traverse City , MI,{cak} Saw ufo fly over my house.... freaked me out.
1022,4/20/2018,4/19/2018,St. Peters, MO,"{cak} low fire like lights scattered in a localized area that hovered for at least one minute. some tiny, some large, very beautiful. below the cloud line and above roof line of home"
1023,4/19/2018,4/19/2018,Harriman, NY,{cak} Object with two white trails observed at night moving extremely fast. Not a typical plane or helicopter.
1024,4/19/2018,4/19/2018,New York, NY,"{cak} Observed Silent, fast moving white orb with long, glowing tail from SSE to NNW."
1025,4/20/2018,4/19/2018,Woodhaven, NY,"{cak} On J train observed 1giant ball of light, then 2 then they switched positions then back then 3rd and formed a triangle"
1026,4/19/2018,4/19/2018,Jonesborough, TN,{cak} Spinning lights in sky
1027,4/20/2018,4/19/2018,Morristown, TN,"{cak} Star-like object in the sky that pulsated & flashed randomly, then disappeared."
1028,4/28/2018,4/20/2018,Sumiton, AL,{rjl} I take pictures an scan sky I was taking pictures an seen it
1029,4/20/2018,4/20/2018,Ozark, AR,"{cak} hovering golden cylinder shaped light that hovered then would shoot upward and disappear, then reappear. at one point saw a bright flash of light near the ground"
1030,4/21/2018,4/20/2018,Brooktrails, CA,{cak} A friend of mine was outside smoking a cigarette and they said hey come look at this and I went outside to look and it was something out in the sky with lights it was far up is a star maybe and it was moving
1031,1/7/2019,4/20/2018,Denver, CO,{cak} I have pics of 3 separate Ufos and orbs at 3 different places in Colorado.
1032,5/23/2018,4/20/2018,Ortonville, MI,{rjl} Orbs of bright light in woods behind house. Observed them almost every night for last 2 month she
1033,4/23/2018,4/20/2018,Burlington, NJ,{rjl} Strange light in the sky with weird pictures taken
1034,4/21/2018,4/20/2018,Eatontown, NJ,"{cak} I saw a huge cigar shaped object hovering, I was driving , I took a pic."
1035,4/22/2018,4/20/2018,Drexel Hill, PA,{rjl} Looked like a star; same brightness and altitude but moving at a pace slightly slower than a plane. Way too high to be a plane and no flashing lights
1036,4/23/2018,4/20/2018,Broadlands, VA,{rjl} Pulsating orb that later changed to a bright chevron shape
1037,4/25/2018,4/20/2018,Vancouver, WA,{rjl} Star-Like UFO streaks across at very high-altitude.
1038,4/20/2018,4/20/2018,Madison, WI,"{cak} Outside smoking and was looking at planes when all of a sudden out of where this object came out of nowhere. It was at or near the altitude of the plane, flying next to or underneath it, then it passed the plane and disappeared."
1039,4/24/2018,4/21/2018,Huntsville, AL,{rjl} I was taking a pic of the clouds due to Chem trails.
1040,4/22/2018,4/21/2018,Pinetop, AZ,{rjl} bright glowing light slow path then hover then zig then resume slow progression
1041,4/21/2018,4/21/2018,ORRINGTON, ME,"[cak} Black Triangle, Orrington, Maine (Boring...)"
1042,4/22/2018,4/21/2018,Clarkston, MI,{rjl} I first seen it at above my house when I walked outside to back deck
1043,4/23/2018,4/21/2018,Sauk Rapids , MN,{rjl} 3 Orange lights or maybe 3 pairs close together flew by at an amazing speed.
1044,4/23/2018,4/21/2018,New York, NJ,{rjl} Shape of lights
1045,4/21/2018,4/21/2018,Bronx, NY,{cak} was just thinking it would be nice to see you and Angel or a light ball and I turned to my left and boom there it was tumbling stretching turning going flat but a little misty sparkly thing around at all time the sun was on my camera so it was a
1046,4/22/2018,4/21/2018,Rochester, NY,"{rjl} Started Sat night with first sighting, ended Sun morning with three more sightings within 1 hour."
1047,4/21/2018,4/21/2018,Portland, OR,"{cak} Approached, landed, exited, left"
1048,4/22/2018,4/21/2018,Coatesville, PA,{rjl} Bright red object 'hovering' for approximately 5 seconds then shot away rapidly
1049,4/21/2018,4/21/2018,Eastland, TX,{cak} Light moved left and right up and down. Then a train came by and was gone. After train was gone reappeared again. Then was gone
1050,4/21/2018,4/21/2018,Manitowoc, WI,{cak} It had one light on top like its main light then another turned on right below like it was connected and the below the 2nd light one to the bottom left and one to the bottom right returned on and it took off like I scared it.
1051,4/27/2018,4/22/2018,Los Angeles, CA,{rjl} UFO which didn't like  either a plane or helicopter
1052,4/22/2018,4/22/2018,Pacific Grove, CA,{rjl} Very high objects moved (floated?) across the sky.
1053,4/22/2018,4/22/2018,Washington, DC,"{rjl} 2 silver spheres moving through a low cloud, shining white/silver then disappearing"
1054,4/25/2018,4/22/2018,Sandusky , MI,{rjl} 6 seen moving all over interruption on cell phone video with very disturbing sounds
1055,4/23/2018,4/22/2018,Brooklyn, NY,Silver disc with golden lights oscillating from top to bottom in a helix pattern and gold reflections
1056,7/15/2018,4/22/2018,kew gardens, NY,"{td} two events, one in Idaho, one in queens. beam of light hit me in chest; witnessed and recorded craft."
1057,4/22/2018,4/22/2018,Thompson, OH,{rjl} Object and jet(s) traveling in tandem.
1058,4/23/2018,4/22/2018,Manheim, PA,{rjl} Looked to me to appear like lunar lander
1059,4/24/2018,4/23/2018,Hercules, CA,{rjl} a ball of light that descent towards the ground at a rapid rate
1060,4/25/2018,4/23/2018,Pensacola, FL,"{rjl} Blinking lights in the sky, not sure if it was multiple crafts or just multiple lights on one giant craft "
1061,4/25/2018,4/23/2018,Bloomington, MN,"{rjl} Saw an amber colored half-moon shaped object that matched the street lights exactly, but was huge!"
1062,4/23/2018,4/23/2018,Garner, NC,{rjl} I awoke to strange dots in a pattern on my leg with no explanation of how they'd got there
1063,4/24/2018,4/23/2018,Manhattan, NY,{rjl} Small very bright oval shaped object directly above me. The object was stationary.
1064,4/25/2018,4/23/2018,San Marcos, TX,"{rjl} Driving, saw something fly by that I've never seen before."
1065,4/28/2018,4/24/2018,North Scottsdale, AZ,{rjl}?Took a pic while golfing and noticed the UFO a few days later
1066,4/25/2018,4/24/2018,Evans, GA,{rjl} Four light triangle formation with pulsing varying lights. 20MP photo revealed spree with surface light forms
1067,4/25/2018,4/24/2018,Evans, GA,{rjl} Apparent 4 orb cluster. Changing lights directions. Photo revealed apparent sphere with conformal lighting elements
1068,4/24/2018,4/24/2018,Gainesville, GA,{rjl} an object around cloud level dancing around... very bright
1069,4/24/2018,4/24/2018,Covington, LA,{rjl} White light four flashes took three seconds to cross entire horizon
1070,4/26/2018,4/24/2018,Marquette, MI,"{rjl} Star-like object with red, green and blue lights"
1071,4/25/2018,4/24/2018,Springfield, MO,{rjl} This has actually became pretty normal. I reported it once before about three years ago and it went away for a while so I didn't follow up when you called.
1072,4/27/2018,4/24/2018,Summit, MS,"{rjl} Triangle craft at 1724 hours, traveling from west to east in a straight line with a buzzing noise"
1073,4/25/2018,4/24/2018,Manhattan, NY,"{rjl} I was crossing Delancey Street and turned to shoot the Williamsburg Bridge, and took a photo of oncoming traffic. It was cloudy and I saw nothing in the sky. Lights were present in my photo file when I uploaded at home later."
1074,4/27/2018,4/25/2018,Sumiton, AL,{rjl} Took picture
1075,4/30/2018,4/25/2018,Denver, CO,{jpg} Captured on the CBS Morning News UFO's approximately over the Denver State Capital
1076,5/17/2018,4/25/2018,Lakewood, CO,{cak} Followed a straight line in the sky then slowly descended in a straight line
1077,12/8/2018,4/25/2018,Gulf shores, FL,{jpg} Sitting on the balcony at our condo come across the ocean stopped right in front of us four huge lights blink on then it disappeared no noise there were three objects bright fiery reddish-orange.
1078,4/26/2018,4/25/2018,Twin falls, ID,{rjl} Heavy chem spraying all day.. Noticed a halo from the sun inside went outside took pictures noticed the orb thought maybe  took pictures of sky over hour and saw it move across sky
1079,4/25/2018,4/25/2018,Ottawa, KS,"{rjl} FLAMING BLUE OBJECT IN SKY OVER OTTAWA, KANSAS"
1080,5/12/2018,4/25/2018,Columbia, SC,"{td} She felt a strong pressure wave, then heard a huge"
1081,4/26/2018,4/25/2018,Webster, TX,"{rjl} round silvery object moving very fast into cloud, then reversing direction coming out of cloud, speeding away"
1082,4/26/2018,4/26/2018,Woodland, CA,{rjl} Foo fighters?
1083,5/4/2018,4/26/2018,New York, NY,{jpg} We were riding in a Taxi on Pearl Street intersecting with the Brooklyn Bridge in Chinatown when photo was taken
1084,4/29/2018,4/26/2018,Madison , WI,{jpg} I work outside at night by myself. I was just looking at a cloud when a ufo came out of it.
1085,4/27/2018,4/27/2018,Jacksonville, FL,{rjl} Observed while walking dogs
1086,7/3/2018,4/27/2018,Lagrange, GA,{dr}Sitting in total darkness fishing looked up in the sky. At the stars saw one object moving erratic
1087,4/29/2018,4/27/2018,Rock Hill, SC,"{jpg} Appeared large flat disc with some depth at distant, in decent or nose dive came closer was oval disc."
1088,4/29/2018,4/27/2018,Corpus Christi , TX,{jpg} Looked like a dragon kite then morphed into a dark spherical object that hovered stationary then ascended
1089,8/30/2018,4/28/2018,Escondido, CA,"{td} was red. had a beak. non normal hands, fleshy looking, black eyes. came in the night to my bedroom"
1090,8/11/2018,4/28/2018,Joshua Tree, CA,{jpg} upon review days after that I have filmed some objects in slow motion flying through the frame at a very high rate of speed. The clip was recorded on an iPhone 7 at 240 FPS
1091,5/4/2018,4/28/2018,Homestead , FL,{jpg} Visited Coral Castle took still photos noticed object when I arrived home and observed photos. In Third frame not second frame one second beforehand
1092,4/29/2018,4/28/2018,Minneapolis, MN,{jpg} Around 9pm I noticed a bright blinking red stationary light in the sky between two buildings. It didn't move for awhile but did notice it would blink on and off between red and green. I used my kodak camera to take a video.
1093,4/29/2018,4/28/2018,Greensboro, NC,{jpg} Object appeared flying east then then abruptly turning south until out of sight
1094,4/28/2018,4/28/2018,Las Vegas, NV,{rjl} took photo through binoculars of several glowing objects darting about close to the moon
1095,4/28/2018,4/28/2018,Florence, SC,{rjl} looked up and saw a silent ufo pass over me
1096,4/28/2018,4/28/2018,Fort Worth, TX,{jpg} Really bright light moving extremely fast .
1097,4/29/2018,4/28/2018,Houston, TX,{rjl} Tall structure moving nw. Didn't change altitude. Vertical structure with point at top.
1098,4/28/2018,4/28/2018,Kaufman, TX,"{r pill sized white ball moving at least 25-3500 mph with zero sound. airplane jet engine in the background with an observed jet airplane visible. This is undeniably a vehicle not currently known. I'm a combat veteran, with several deployments/stations."
1099,4/28/2018,4/28/2018,Clinton , UT,{rjl} Stepped out of house onto back porch and noticed extremely bright light to the North
1100,4/29/2018,4/29/2018,Sumiton, AL,{jpg} I seen 3 lights in triangle formation in sky
1101,5/21/2018,4/29/2018,Bowie, AZ,{rj} I was out side on my steps smoking and noticed 3 blinking red lights in the eastern sky. I turned my phone on and started videoing.
